Facet,Conductor,Plane,X,Y
1,1,0,0.60618145560000003,8
1,1,0,1,6.8778409091000006
1,1,0,1,8
2,1,0,0.60618145560000003,8
2,1,0,1,6.8778409091000006
2,1,0,0,5.8181818182000002
2,1,0,0,8
3,1,0,1,-1
3,1,0,1,0.95454545450000006
3,1,0,2,0
4,1,0,1,-1
4,1,0,1,0.95454545450000006
4,1,0,0,1.9090909091000001
5,1,0,1,-1
5,1,0,2,0
5,1,0,3,-1
6,1,0,1,-1
6,1,0,3,-1
6,1,0,4,-2
7,1,0,1,-1
7,1,0,4,-2
7,1,0,0,-2
8,1,0,1,-1
8,1,0,0,-2
8,1,0,0,1.9090909091000001
9,1,0,1,0.95454545450000006
9,1,0,1,2.9389204545000003
9,1,0,2,0
10,1,0,1,0.95454545450000006
10,1,0,1,2.9389204545000003
10,1,0,0,1.9090909091000001
11,1,0,1,2.9389204545000003
11,1,0,1,4.8934659091000006
11,1,0,2,3.96875
12,1,0,1,2.9389204545000003
12,1,0,1,4.8934659091000006
12,1,0,0,5.8181818182000002
13,1,0,1,2.9389204545000003
13,1,0,2,0
13,1,0,2,3.96875
14,1,0,1,2.9389204545000003
14,1,0,0,1.9090909091000001
14,1,0,0,5.8181818182000002
15,1,0,1,4.8934659091000006
15,1,0,1,6.8778409091000006
15,1,0,2,3.96875
16,1,0,1,4.8934659091000006
16,1,0,1,6.8778409091000006
16,1,0,0,5.8181818182000002
17,1,0,1,6.8778409091000006
17,1,0,1,8
17,1,0,1.9301587302000001,8
17,1,0,2,7.9375
18,1,0,1,6.8778409091000006
18,1,0,2,3.96875
18,1,0,2,7.9375
19,1,0,1.9301587302000001,8
19,1,0,1.9782930439000002,8
19,1,0,2,7.9375
20,1,0,1.9782930439000002,8
20,1,0,2,7.9375
20,1,0,2,8
21,1,0,10,-1
21,1,0,10,-1.3333333333000001
21,1,0,9,-1
22,1,0,10,-1
22,1,0,10,0
22,1,0,9,-1
23,1,0,10,-1.3333333333000001
23,1,0,10,-2
23,1,0,8,-2
23,1,0,9,-1
24,1,0,10,0
24,1,0,6,0
24,1,0,7,-1
25,1,0,10,0
25,1,0,7,-1
25,1,0,9,-1
26,1,0,2,0
26,1,0,3,-1
26,1,0,5,-1
27,1,0,2,0
27,1,0,5,-1
27,1,0,6,0
28,1,0,3,-1
28,1,0,4,-2
28,1,0,5,-1
29,1,0,4,-2
29,1,0,5,-1
29,1,0,7,-1
30,1,0,4,-2
30,1,0,7,-1
30,1,0,8,-2
31,1,0,5,-1
31,1,0,6,0
31,1,0,7,-1
32,1,0,7,-1
32,1,0,8,-2
32,1,0,9,-1
