Loop,Vertex,Conductor,Plane,Hole,Class,X,Y
1,1,1,0.0,0,Physical,-6.0,8.0
1,2,1,0.0,0,Physical,-6.0,-2.962962962962962
1,3,1,0.0,0,Physical,-5.788085545639782,-3.099478455138633
1,4,1,0.0,0,Physical,-6.0,-3.2592592592592595
1,5,1,0.0,0,Physical,-5.771374953190108,-3.3895527459714576
1,6,1,0.0,0,Physical,-5.756369847197971,-3.688719958272211
1,7,1,0.0,0,Physical,-5.758723499105663,-3.978264025967102
1,8,1,0.0,0,Physical,-5.525875236756445,-4.103591364439653
1,9,1,0.0,0,Physical,-5.5218649864220914,-4.39999999999976
1,10,1,0.0,0,Physical,-5.328649646984534,-4.549999999999757
1,11,1,0.0,0,Physical,-5.328649646984549,-4.849999999999757
1,12,1,0.0,0,Physical,-5.068842025849197,-4.999999999999726
1,13,1,0.0,0,Physical,-5.068842025849238,-5.299999999999757
1,14,1,0.0,0,Physical,-4.809034404713835,-5.449999999999652
1,15,1,0.0,0,Physical,-4.809034404713918,-5.7499999999997495
1,16,1,0.0,0,Physical,-4.289419162441394,-6.049999999996847
1,17,1,0.0,0,Physical,-4.289399561206537,-6.349948131463447
1,18,1,0.0,0,Physical,-4.029597156532429,-6.499975084838534
1,19,1,0.0,0,Physical,-3.7697871379106047,-6.649970932274159
1,20,1,0.0,0,Physical,-3.5099962989652553,-6.799999999886799
1,21,1,0.0,0,Physical,-3.250188677783682,-6.94999999981421
1,22,1,0.0,0,Physical,-2.9889600523292987,-7.098523606895264
1,23,1,0.0,0,Physical,-2.980160480079504,-7.396335534318236
1,24,1,0.0,0,Physical,-2.732267986447228,-7.244806108235565
1,25,1,0.0,0,Physical,-2.463044669593325,-7.4425428426227525
1,26,1,0.0,0,Physical,-2.1280631729183517,-7.523724666720215
1,27,1,0.0,0,Physical,-2.011476969303093,-7.765349432842209
1,28,1,0.0,0,Physical,-1.871747779140624,-7.5858096389628376
1,29,1,0.0,0,Physical,-1.7215408978121527,-7.7622502281783525
1,30,1,0.0,0,Physical,-1.4107876449670775,-7.714577208904254
1,31,1,0.0,0,Physical,-1.2592592592592595,-8.0
1,32,1,0.0,0,Physical,-1.111111111111113,-7.795303890979942
1,33,1,0.0,0,Physical,-0.9629629629629637,-8.0
1,34,1,0.0,0,Physical,10.0,-8.0
1,35,1,0.0,0,Physical,10.0,-2.0
1,36,1,0.0,0,Physical,0.0,-2.0
1,37,1,0.0,0,Physical,0.0,8.0
2,1,1,0.0,0,Physical,2.0,8.0
2,2,1,0.0,0,Physical,2.0,0.0
2,3,1,0.0,0,Physical,10.0,0.0
2,4,1,0.0,0,Physical,10.0,5.925925925925926
2,5,1,0.0,0,Physical,9.743399880360167,6.074074074074074
2,6,1,0.0,0,Physical,9.463351289469081,5.926627483730201
2,7,1,0.0,0,Physical,9.11201104699479,5.922139468088279
2,8,1,0.0,0,Physical,8.812013816937261,5.923428529140843
2,9,1,0.0,0,Physical,8.512016587819119,5.924717596130073
2,10,1,0.0,0,Physical,8.212019383521778,5.926006417356859
2,11,1,0.0,0,Physical,7.912022126551145,5.927295712420648
2,12,1,0.0,0,Physical,8.063137232097372,6.186455300767033
2,13,1,0.0,0,Physical,7.914255445704289,6.446901144440254
2,14,1,0.0,0,Physical,8.065369770363505,6.706066859492699
2,15,1,0.0,0,Physical,7.916509408190883,6.966333675796684
2,16,1,0.0,0,Physical,8.067709089762058,7.224775768318416
2,17,1,0.0,0,Physical,7.919952823319078,7.483541588175004
2,18,1,0.0,0,Physical,8.071791011934069,7.7419503244221675
2,19,1,0.0,0,Physical,7.925925925925926,8.0
