triangle,vertex_i,vertex_j,vertex_k
1,1,2,18
2,1,18,17
3,2,3,19
4,2,19,18
5,3,4,20
6,3,20,19
7,4,5,21
8,4,21,20
9,5,6,22
10,5,22,21
11,6,7,23
12,6,23,22
13,7,8,24
14,7,24,23
15,8,9,25
16,8,25,24
17,9,10,26
18,9,26,25
19,10,11,27
20,10,27,26
21,11,12,28
22,11,28,27
23,12,13,29
24,12,29,28
25,13,14,30
26,13,30,29
27,14,15,31
28,14,31,30
29,15,16,32
30,15,32,31
31,16,1,17
32,16,17,32
33,17,18,34
34,17,34,33
35,18,19,35
36,18,35,34
37,19,20,36
38,19,36,35
39,20,21,37
40,20,37,36
41,21,22,38
42,21,38,37
43,22,23,39
44,22,39,38
45,23,24,40
46,23,40,39
47,24,25,41
48,24,41,40
49,25,26,42
50,25,42,41
51,26,27,43
52,26,43,42
53,27,28,44
54,27,44,43
55,28,29,45
56,28,45,44
57,29,30,46
58,29,46,45
59,30,31,47
60,30,47,46
61,31,32,48
62,31,48,47
63,32,17,33
64,32,33,48
65,33,34,50
66,33,50,49
67,34,35,51
68,34,51,50
69,35,36,52
70,35,52,51
71,36,37,53
72,36,53,52
73,37,38,54
74,37,54,53
75,38,39,55
76,38,55,54
77,39,40,56
78,39,56,55
79,40,41,57
80,40,57,56
81,41,42,58
82,41,58,57
83,42,43,59
84,42,59,58
85,43,44,60
86,43,60,59
87,44,45,61
88,44,61,60
89,45,46,62
90,45,62,61
91,46,47,63
92,46,63,62
93,47,48,64
94,47,64,63
95,48,33,49
96,48,49,64
97,49,50,66
98,49,66,65
99,50,51,67
100,50,67,66
101,51,52,68
102,51,68,67
103,52,53,69
104,52,69,68
105,53,54,70
106,53,70,69
107,54,55,71
108,54,71,70
109,55,56,72
110,55,72,71
111,56,57,73
112,56,73,72
113,57,58,74
114,57,74,73
115,58,59,75
116,58,75,74
117,59,60,76
118,59,76,75
119,60,61,77
120,60,77,76
121,61,62,78
122,61,78,77
123,62,63,79
124,62,79,78
125,63,64,80
126,63,80,79
127,64,49,65
128,64,65,80
129,2,1,16
130,3,2,16
131,4,3,16
132,5,4,16
133,6,5,16
134,7,6,16
135,8,7,16
136,9,8,16
137,10,9,16
138,11,10,16
139,12,11,16
140,13,12,16
141,14,13,16
142,15,14,16
143,80,65,66
144,80,66,67
145,80,67,68
146,80,68,69
147,80,69,70
148,80,70,71
149,80,71,72
150,80,72,73
151,80,73,74
152,80,74,75
153,80,75,76
154,80,76,77
155,80,77,78
156,80,78,79
