vertex,x,y,z,basis,conductor
1,6.0000000000000098e+00,-2.0499999999999994e+00,-8.0000000000000000e+00,1,0
2,-1.9999999999999996e+00,-2.0499999999999994e+00,-8.0000000000000000e+00,2,0
3,-1.0000000000000007e+01,-2.0499999999999994e+00,-8.0000000000000000e+00,3,0
4,-1.0000000000000009e+01,-2.0499999999999998e+00,-2.0000000000000009e+00,4,0
5,-1.0000000000000009e+01,-2.0500000000000003e+00,-1.3333333333000017e+00,5,0
6,-1.0000000000000009e+01,-2.0500000000000003e+00,-1.0000000000000011e+00,6,0
7,-1.0000000000000009e+01,-2.0500000000000003e+00,-1.2999299585992163e-15,7,0
8,-1.0000000000000011e+01,-2.0500000000000007e+00,7.9999999999999964e+00,8,0
9,-2.0000000000000013e+00,-2.0500000000000012e+00,7.9999999999999964e+00,9,0
10,-1.9782930439000042e+00,-2.0500000000000012e+00,7.9999999999999964e+00,10,0
11,-1.9301587302000003e+00,-2.0500000000000012e+00,7.9999999999999964e+00,11,0
12,-1.0000000000000004e+00,-2.0500000000000012e+00,7.9999999999999964e+00,12,0
13,-6.0618145560000147e-01,-2.0500000000000012e+00,7.9999999999999964e+00,13,0
14,7.6623770934699280e-16,-2.0500000000000012e+00,7.9999999999999964e+00,14,0
15,6.0000000000000080e+00,-2.0500000000000012e+00,7.9999999999999964e+00,15,0
16,6.0000000000000089e+00,-2.0500000000000003e+00,-1.6831016264330573e-15,16,0
17,6.0000000000000089e+00,-4.9999999999999427e-02,-7.9999999999999982e+00,17,0
18,-2.0000000000000004e+00,-4.9999999999999371e-02,-7.9999999999999982e+00,18,0
19,-1.0000000000000007e+01,-4.9999999999999316e-02,-7.9999999999999982e+00,19,0
20,-1.0000000000000009e+01,-4.9999999999999857e-02,-1.9999999999999993e+00,20,0
21,-1.0000000000000009e+01,-4.9999999999999913e-02,-1.3333333333000001e+00,21,0
22,-1.0000000000000009e+01,-4.9999999999999947e-02,-9.9999999999999956e-01,22,0
23,-1.0000000000000009e+01,-5.0000000000000037e-02,1.8629829533986960e-16,23,0
24,-1.0000000000000011e+01,-5.0000000000000759e-02,7.9999999999999982e+00,24,0
25,-2.0000000000000022e+00,-5.0000000000000815e-02,7.9999999999999982e+00,25,0
26,-1.9782930439000050e+00,-5.0000000000000815e-02,7.9999999999999982e+00,26,0
27,-1.9301587302000012e+00,-5.0000000000000815e-02,7.9999999999999982e+00,27,0
28,-1.0000000000000013e+00,-5.0000000000000822e-02,7.9999999999999982e+00,28,0
29,-6.0618145560000236e-01,-5.0000000000000822e-02,7.9999999999999982e+00,29,0
30,-8.5825431189212440e-17,-5.0000000000000829e-02,7.9999999999999982e+00,30,0
31,6.0000000000000071e+00,-5.0000000000000870e-02,7.9999999999999982e+00,31,0
32,6.0000000000000080e+00,-5.0000000000000148e-02,-1.9687337249397134e-16,32,0
33,6.0000000000000089e+00,5.9083061507478191e-16,-7.9999999999999982e+00,33,0
34,-2.0000000000000004e+00,6.4642750075657943e-16,-7.9999999999999982e+00,34,0
35,-1.0000000000000007e+01,7.0202438643837684e-16,-7.9999999999999982e+00,35,0
36,-1.0000000000000009e+01,1.6079066193361303e-16,-1.9999999999999993e+00,36,1
37,-1.0000000000000009e+01,1.0065358143007694e-16,-1.3333333333000001e+00,37,1
38,-1.0000000000000009e+01,7.0585041182819086e-17,-9.9999999999999956e-01,38,1
39,-1.0000000000000009e+01,-1.9620579567974883e-17,2.2345400168834676e-16,39,1
40,-1.0000000000000011e+01,-7.4126554557432666e-16,7.9999999999999982e+00,40,0
41,-2.0000000000000022e+00,-7.9686243125612408e-16,7.9999999999999982e+00,41,1
42,-1.9782930439000050e+00,-7.9701328615072305e-16,7.9999999999999982e+00,42,1
43,-1.9301587302000012e+00,-7.9734780089274189e-16,7.9999999999999982e+00,43,1
44,-1.0000000000000013e+00,-8.0381204196634878e-16,7.9999999999999982e+00,44,1
45,-6.0618145560000236e-01,-8.0654892754039614e-16,7.9999999999999982e+00,45,1
46,-1.0712700970261756e-16,-8.1076165267657348e-16,7.9999999999999982e+00,46,1
47,6.0000000000000071e+00,-8.5245931693792159e-16,7.9999999999999982e+00,47,0
48,6.0000000000000080e+00,-1.3081435093156984e-16,-1.5971766614549418e-16,48,0
49,6.0000000000000089e+00,1.0000000000000063e-01,-7.9999999999999982e+00,49,0
50,-2.0000000000000004e+00,1.0000000000000069e-01,-7.9999999999999982e+00,50,0
51,-1.0000000000000007e+01,1.0000000000000074e-01,-7.9999999999999982e+00,51,0
52,-1.0000000000000009e+01,1.0000000000000020e-01,-1.9999999999999993e+00,52,1
53,-1.0000000000000009e+01,1.0000000000000013e-01,-1.3333333333000001e+00,53,1
54,-1.0000000000000009e+01,1.0000000000000010e-01,-9.9999999999999944e-01,54,1
55,-1.0000000000000009e+01,1.0000000000000002e-01,2.9776541438530109e-16,55,1
56,-1.0000000000000011e+01,9.9999999999999298e-02,7.9999999999999982e+00,56,0
57,-2.0000000000000022e+00,9.9999999999999242e-02,7.9999999999999982e+00,57,1
58,-1.9782930439000050e+00,9.9999999999999242e-02,7.9999999999999982e+00,58,1
59,-1.9301587302000012e+00,9.9999999999999242e-02,7.9999999999999982e+00,59,1
60,-1.0000000000000013e+00,9.9999999999999228e-02,7.9999999999999982e+00,60,1
61,-6.0618145560000236e-01,9.9999999999999228e-02,7.9999999999999982e+00,61,1
62,-1.4973016672942779e-16,9.9999999999999228e-02,7.9999999999999982e+00,62,1
63,6.0000000000000071e+00,9.9999999999999187e-02,7.9999999999999982e+00,63,0
64,6.0000000000000080e+00,9.9999999999999908e-02,-8.5406253448539862e-17,64,0
65,6.0000000000000080e+00,2.1000000000000014e+00,-7.9999999999999964e+00,65,0
66,-2.0000000000000013e+00,2.1000000000000014e+00,-7.9999999999999964e+00,66,0
67,-1.0000000000000009e+01,2.1000000000000014e+00,-7.9999999999999964e+00,67,0
68,-1.0000000000000011e+01,2.1000000000000010e+00,-1.9999999999999978e+00,68,0
69,-1.0000000000000011e+01,2.1000000000000005e+00,-1.3333333332999986e+00,69,0
70,-1.0000000000000011e+01,2.1000000000000005e+00,-9.9999999999999800e-01,70,0
71,-1.0000000000000011e+01,2.1000000000000005e+00,1.7839936683243874e-15,71,0
72,-1.0000000000000012e+01,2.1000000000000001e+00,8.0000000000000000e+00,72,0
73,-2.0000000000000031e+00,2.0999999999999996e+00,8.0000000000000000e+00,73,0
74,-1.9782930439000059e+00,2.0999999999999996e+00,8.0000000000000000e+00,74,0
75,-1.9301587302000021e+00,2.0999999999999996e+00,8.0000000000000000e+00,75,0
76,-1.0000000000000022e+00,2.0999999999999996e+00,8.0000000000000000e+00,76,0
77,-6.0618145560000325e-01,2.0999999999999996e+00,8.0000000000000000e+00,77,0
78,-1.0017933072656332e-15,2.0999999999999996e+00,8.0000000000000000e+00,78,0
79,6.0000000000000062e+00,2.0999999999999996e+00,8.0000000000000000e+00,79,0
80,6.0000000000000071e+00,2.1000000000000005e+00,1.4008220004905464e-15,80,0
