Facet,Conductor,Plane,X,Y
1,1,0,-1,-0.5
1,1,0,-1,0.5
1,1,0,-1.9166666667000001,0
2,1,0,-1,-0.5
2,1,0,-1.9166666667000001,0
2,1,0,-2.8333333333000001,-0.5
3,1,0,-1,0.5
3,1,0,-1.9166666667000001,0
3,1,0,-2.8333333333000001,0.5
4,1,0,-1.9166666667000001,0
4,1,0,-2.8333333333000001,-0.5
4,1,0,-2.8333333333000001,0
5,1,0,-1.9166666667000001,0
5,1,0,-2.8333333333000001,0
5,1,0,-2.8333333333000001,0.5
6,1,0,-2.8333333333000001,-0.5
6,1,0,-2.8333333333000001,0
6,1,0,-3.75,0
7,1,0,-2.8333333333000001,-0.5
7,1,0,-3.75,0
7,1,0,-4.6666666667000003,-0.5
8,1,0,-2.8333333333000001,0
8,1,0,-2.8333333333000001,0.5
8,1,0,-3.75,0
9,1,0,-2.8333333333000001,0.5
9,1,0,-3.75,0
9,1,0,-4.6666666667000003,0.5
10,1,0,-3.75,0
10,1,0,-4.6666666667000003,-0.5
10,1,0,-4.6666666667000003,0
11,1,0,-3.75,0
11,1,0,-4.6666666667000003,0
11,1,0,-4.6666666667000003,0.5
12,1,0,-4.6666666667000003,-0.5
12,1,0,-4.6666666667000003,0
12,1,0,-5.5833333333000006,0
13,1,0,-4.6666666667000003,-0.5
13,1,0,-5.5833333333000006,0
13,1,0,-6.5,-0.5
14,1,0,-4.6666666667000003,0
14,1,0,-4.6666666667000003,0.5
14,1,0,-5.5833333333000006,0
15,1,0,-4.6666666667000003,0.5
15,1,0,-5.5833333333000006,0
15,1,0,-6.5,0.5
16,1,0,-5.5833333333000006,0
16,1,0,-6.5,-0.5
16,1,0,-6.5,0
17,1,0,-5.5833333333000006,0
17,1,0,-6.5,0
17,1,0,-6.5,0.5
18,1,0,-6.5,-0.5
18,1,0,-6.5,-2.3774720121000001
18,1,0,-8.1180548852000012,-1.4228737929999999
19,1,0,-6.5,-0.5
19,1,0,-6.5,0
19,1,0,-7.6044575592000001,0.041179645600000002
20,1,0,-6.5,-0.5
