Loop,Vertex,Conductor,Plane,Hole,Class,X,Y
1,1,1,0.0,0,Physical,-6.5,-8.600000000000001
1,2,1,0.0,0,Physical,-6.5,-0.6000000000000001
1,3,1,0.0,0,Physical,-1.0,-0.6000000000000001
1,4,1,0.0,0,Physical,-1.0,0.4
1,5,1,0.0,0,Physical,-6.5,0.4
1,6,1,0.0,0,Continuation,-6.5,8.4
1,7,1,0.0,0,Continuation,-11.75,8.4
1,8,1,0.0,0,Continuation,-11.75,-8.600000000000001
2,1,2,0.0,0,Physical,5.5,-0.6000000000000001
2,2,2,0.0,0,Continuation,5.5,-8.600000000000001
2,3,2,0.0,0,Continuation,9.833333334,-8.600000000000001
2,4,2,0.0,0,Continuation,9.833333334,8.4
2,5,2,0.0,0,Physical,5.5,8.4
2,6,2,0.0,0,Physical,5.5,0.4
2,7,2,0.0,0,Physical,0.0,0.4
2,8,2,0.0,0,Physical,0.0,-0.6000000000000001
