Facet,Conductor,Plane,X,Y
1,1,0,-1,-0.59999999999999998
1,1,0,-1,0.40000000000000002
1,1,0,-1.9166666667000001,-0.10000000000000001
2,1,0,-1,-0.59999999999999998
2,1,0,-1.9166666667000001,-0.10000000000000001
2,1,0,-2.8333333333000001,-0.59999999999999998
3,1,0,-1,0.40000000000000002
3,1,0,-1.9166666667000001,-0.10000000000000001
3,1,0,-2.8333333333000001,0.40000000000000002
4,1,0,-1.9166666667000001,-0.10000000000000001
4,1,0,-2.8333333333000001,-0.10000000000000001
4,1,0,-2.8333333333000001,-0.59999999999999998
5,1,0,-1.9166666667000001,-0.10000000000000001
5,1,0,-2.8333333333000001,-0.10000000000000001
5,1,0,-2.8333333333000001,0.40000000000000002
6,1,0,-10.0131849375,1.2537838914000001
6,1,0,-11.1191407343,-1.7522577381
6,1,0,-11.75,-0.95001078950000006
6,1,0,-11.75,0.93882169260000004
7,1,0,-10.0131849375,1.2537838914000001
7,1,0,-11.1191407343,-1.7522577381
7,1,0,-7.8601112517000002,-0.59394688260000006
8,1,0,-10.0131849375,1.2537838914000001
8,1,0,-11.75,0.93882169260000004
8,1,0,-11.75,3.622434605
9,1,0,-10.0131849375,1.2537838914000001
9,1,0,-11.75,3.622434605
9,1,0,-11.75,3.9904942257
9,1,0,-8.4769193946999994,3.5528266113
10,1,0,-10.0131849375,1.2537838914000001
10,1,0,-7.8601112517000002,-0.59394688260000006
10,1,0,-7.9806508527000002,1.4690478234
11,1,0,-10.0131849375,1.2537838914000001
11,1,0,-7.9806508527000002,1.4690478234
11,1,0,-8.4769193946999994,3.5528266113
12,1,0,-10.8580625499,-8.5999999999999996
12,1,0,-11.75,-6.7087678182000001
12,1,0,-11.75,-6.1819236101000001
12,1,0,-8.5840837632000007,-6.3875674421999999
12,1,0,-9.5233990068000001,-8.5999999999999996
13,1,0,-10.8580625499,-8.5999999999999996
13,1,0,-11.75,-6.7087678182000001
13,1,0,-11.75,-8.5999999999999996
14,1,0,-11.1191407343,-1.7522577381
14,1,0,-11.75,-0.95001078950000006
14,1,0,-11.75,-2.0032897811999999
15,1,0,-11.1191407343,-1.7522577381
15,1,0,-11.75,-2.0032897811999999
15,1,0,-11.75,-4.8902812784999998
16,1,0,-11.1191407343,-1.7522577381
16,1,0,-11.75,-4.8902812784999998
16,1,0,-11.75,-5.9664012199999998
16,1,0,-8.6036070267000007,-3.5251943745000003
17,1,0,-11.1191407343,-1.7522577381
17,1,0,-7.8601112517000002,-0.59394688260000006
17,1,0,-8.6036070267000007,-3.5251943745000003
18,1,0,-11.75,-5.9664012199999998
18,1,0,-11.75,-6.1819236101000001
18,1,0,-8.5840837632000007,-6.3875674421999999
18,1,0,-8.6036070267000007,-3.5251943745000003
19,1,0,-11.75,3.9904942257
19,1,0,-11.75,4.2651419348999999
19,1,0,-8.9143199731999996,6.4887919635000006
19,1,0,-8.4769193946999994,3.5528266113
20,1,0,-11.75,4.2651419348999999
20,1,0,-11.75,8.005738065100001
20,1,0,-8.9143199731999996,6.4887919635000006
21,1,0,-11.75,8.005738065100001
21,1,0,-11.75,8.4000000000000004
21,1,0,-9.4091201580000003,8.4000000000000004
21,1,0,-8.9143199731999996,6.4887919635000006
22,1,0,-2.8333333333000001,-0.10000000000000001
22,1,0,-2.8333333333000001,-0.59999999999999998
22,1,0,-3.75,-0.10000000000000001
23,1,0,-2.8333333333000001,-0.10000000000000001
23,1,0,-2.8333333333000001,0.40000000000000002
23,1,0,-3.75,-0.10000000000000001
24,1,0,-2.8333333333000001,-0.59999999999999998
24,1,0,-3.75,-0.10000000000000001
24,1,0,-4.6666666667000003,-0.59999999999999998
25,1,0,-2.8333333333000001,0.40000000000000002
25,1,0,-3.75,-0.10000000000000001
25,1,0,-4.6666666667000003,0.40000000000000002
26,1,0,-3.75,-0.10000000000000001
26,1,0,-4.6666666667000003,-0.10000000000000001
26,1,0,-4.6666666667000003,-0.59999999999999998
27,1,0,-3.75,-0.10000000000000001
27,1,0,-4.6666666667000003,-0.10000000000000001
27,1,0,-4.6666666667000003,0.40000000000000002
28,1,0,-4.6666666667000003,-0.10000000000000001
28,1,0,-4.6666666667000003,-0.59999999999999998
28,1,0,-5.5833333333000006,-0.10000000000000001
29,1,0,-4.6666666667000003,-0.10000000000000001
29,1,0,-4.6666666667000003,0.40000000000000002
29,1,0,-5.5833333333000006,-0.10000000000000001
30,1,0,-4.6666666667000003,-0.59999999999999998
30,1,0,-5.5833333333000006,-0.10000000000000001
30,1,0,-6.5,-0.59999999999999998
31,1,0,-4.6666666667000003,0.40000000000000002
31,1,0,-5.5833333333000006,-0.10000000000000001
31,1,0,-6.5,0.40000000000000002
32,1,0,-5.5833333333000006,-0.10000000000000001
32,1,0,-6.5,-0.10000000000000001
32,1,0,-6.5,-0.59999999999999998
33,1,0,-5.5833333333000006,-0.10000000000000001
33,1,0,-6.5,-0.10000000000000001
33,1,0,-6.5,0.40000000000000002
34,1,0,-6.5,-0.10000000000000001
34,1,0,-6.5,-0.59999999999999998
34,1,0,-7.8601112517000002,-0.59394688260000006
35,1,0,-6.5,-0.10000000000000001
35,1,0,-6.5,0.40000000000000002
35,1,0,-7.8601112517000002,-0.59394688260000006
36,1,0,-6.5,-0.59999999999999998
36,1,0,-6.5,-2.5734354481000001
36,1,0,-7.8601112517000002,-0.59394688260000006
37,1,0,-6.5,-2.5734354481000001
37,1,0,-6.5,-4.9941507629000004
37,1,0,-8.6036070267000007,-3.5251943745000003
38,1,0,-6.5,-2.5734354481000001
38,1,0,-7.8601112517000002,-0.59394688260000006
38,1,0,-8.6036070267000007,-3.5251943745000003
39,1,0,-6.5,-4.9941507629000004
39,1,0,-6.5,-8.3834331641999995
39,1,0,-8.5840837632000007,-6.3875674421999999
40,1,0,-6.5,-4.9941507629000004
40,1,0,-8.5840837632000007,-6.3875674421999999
40,1,0,-8.6036070267000007,-3.5251943745000003
41,1,0,-6.5,-8.3834331641999995
41,1,0,-6.5,-8.5999999999999996
41,1,0,-6.9641101095,-8.5999999999999996
42,1,0,-6.5,-8.3834331641999995
42,1,0,-6.9641101095,-8.5999999999999996
42,1,0,-9.5233990068000001,-8.5999999999999996
42,1,0,-8.5840837632000007,-6.3875674421999999
43,1,0,-6.5,0.40000000000000002
43,1,0,-6.5,2.3734354481
43,1,0,-7.9806508527000002,1.4690478234
44,1,0,-6.5,0.40000000000000002
44,1,0,-7.8601112517000002,-0.59394688260000006
44,1,0,-7.9806508527000002,1.4690478234
45,1,0,-6.5,2.3734354481
45,1,0,-6.5,4.7941507629000002
45,1,0,-8.4769193946999994,3.5528266113
46,1,0,-6.5,2.3734354481
46,1,0,-7.9806508527000002,1.4690478234
46,1,0,-8.4769193946999994,3.5528266113
47,1,0,-6.5,4.7941507629000002
47,1,0,-6.5,8.1834331642000002
47,1,0,-8.9143199731999996,6.4887919635000006
48,1,0,-6.5,4.7941507629000002
48,1,0,-8.4769193946999994,3.5528266113
48,1,0,-8.9143199731999996,6.4887919635000006
49,1,0,-6.5,8.1834331642000002
49,1,0,-6.5,8.4000000000000004
49,1,0,-6.8164791795999999,8.4000000000000004
50,1,0,-6.5,8.1834331642000002
50,1,0,-6.8164791795999999,8.4000000000000004
50,1,0,-9.4091201580000003,8.4000000000000004
50,1,0,-8.9143199731999996,6.4887919635000006
51,2,0,0.91666666670000008,-0.10000000000000001
51,2,0,1.8333333333000001,-0.59999999999999998
51,2,0,1.8333333333000001,0.40000000000000002
52,2,0,0.91666666670000008,-0.10000000000000001
52,2,0,1.8333333333000001,-0.59999999999999998
52,2,0,0,-0.59999999999999998
53,2,0,0.91666666670000008,-0.10000000000000001
53,2,0,1.8333333333000001,0.40000000000000002
53,2,0,0,0.40000000000000002
54,2,0,0.91666666670000008,-0.10000000000000001
54,2,0,0,-0.59999999999999998
54,2,0,0,0.40000000000000002
55,2,0,1.8333333333000001,-0.59999999999999998
55,2,0,1.8333333333000001,0.40000000000000002
55,2,0,2.75,-0.10000000000000001
56,2,0,1.8333333333000001,-0.59999999999999998
56,2,0,2.75,-0.10000000000000001
56,2,0,3.6666666667000003,-0.59999999999999998
57,2,0,1.8333333333000001,0.40000000000000002
57,2,0,2.75,-0.10000000000000001
57,2,0,3.6666666667000003,0.40000000000000002
58,2,0,2.75,-0.10000000000000001
58,2,0,3.6666666667000003,-0.59999999999999998
58,2,0,3.6666666667000003,0.40000000000000002
59,2,0,3.6666666667000003,-0.59999999999999998
59,2,0,3.6666666667000003,0.40000000000000002
59,2,0,4.5833333333000006,-0.10000000000000001
60,2,0,3.6666666667000003,-0.59999999999999998
60,2,0,4.5833333333000006,-0.10000000000000001
60,2,0,5.5,-0.59999999999999998
61,2,0,3.6666666667000003,0.40000000000000002
61,2,0,4.5833333333000006,-0.10000000000000001
61,2,0,5.5,0.40000000000000002
62,2,0,4.5833333333000006,-0.10000000000000001
62,2,0,5.5,-0.59999999999999998
62,2,0,5.5,0.40000000000000002
63,2,0,5.5,-0.59999999999999998
63,2,0,5.5,-2.4774720121000002
63,2,0,6.6216067227000002,-1.5006965608
64,2,0,5.5,-0.59999999999999998
64,2,0,5.5,0.40000000000000002
64,2,0,6.6044575592000001,-0.14117964560000001
65,2,0,5.5,-0.59999999999999998
65,2,0,6.6044575592000001,-0.14117964560000001
65,2,0,6.6216067227000002,-1.5006965608
66,2,0,5.5,-2.4774720121000002
66,2,0,5.5,-4.7275459230000001
66,2,0,7.3374348450000006,-3.2253250379000002
67,2,0,5.5,-2.4774720121000002
67,2,0,6.6216067227000002,-1.5006965608
67,2,0,7.3374348450000006,-3.2253250379000002
68,2,0,5.5,-4.7275459230000001
68,2,0,5.5,-7.8279410269000005
68,2,0,8.5925063304000009,-6.9402693660999999
69,2,0,5.5,-4.7275459230000001
69,2,0,7.3374348450000006,-3.2253250379000002
69,2,0,8.5925063304000009,-6.9402693660999999
70,2,0,5.5,-7.8279410269000005
70,2,0,5.5,-8.5999999999999996
70,2,0,7.5977397706000005,-8.5999999999999996
70,2,0,8.5925063304000009,-6.9402693660999999
71,2,0,5.5,0.40000000000000002
71,2,0,5.5,2.2774720121000001
71,2,0,7.1180548852000003,1.3228737930000001
72,2,0,5.5,0.40000000000000002
72,2,0,6.6044575592000001,-0.14117964560000001
72,2,0,7.1180548852000003,1.3228737930000001
73,2,0,5.5,2.2774720121000001
73,2,0,5.5,4.5275459229999999
73,2,0,7.2872798123000004,3.4025089675000002
74,2,0,5.5,2.2774720121000001
74,2,0,7.1180548852000003,1.3228737930000001
74,2,0,7.2872798123000004,3.4025089675000002
75,2,0,5.5,4.5275459229999999
75,2,0,5.5,7.6279410269000003
75,2,0,8.3087995248999995,5.4551357736000003
76,2,0,5.5,4.5275459229999999
76,2,0,7.2872798123000004,3.4025089675000002
76,2,0,8.3087995248999995,5.4551357736000003
77,2,0,5.5,7.6279410269000003
77,2,0,5.5,8.4000000000000004
77,2,0,8.6462523628000003,8.4000000000000004
78,2,0,5.5,7.6279410269000003
78,2,0,8.3087995248999995,5.4551357736000003
78,2,0,8.9811602166000011,8.4000000000000004
78,2,0,8.6462523628000003,8.4000000000000004
79,2,0,6.6044575592000001,-0.14117964560000001
79,2,0,6.6216067227000002,-1.5006965608
79,2,0,8.3634726743000005,-0.54449409910000002
80,2,0,6.6044575592000001,-0.14117964560000001
80,2,0,7.1180548852000003,1.3228737930000001
80,2,0,8.3634726743000005,-0.54449409910000002
81,2,0,6.6216067227000002,-1.5006965608
81,2,0,7.3374348450000006,-3.2253250379000002
81,2,0,8.3634726743000005,-0.54449409910000002
82,2,0,7.1180548852000003,1.3228737930000001
82,2,0,7.2872798123000004,3.4025089675000002
82,2,0,9.4531192654999998,2.5429355229000001
83,2,0,7.1180548852000003,1.3228737930000001
83,2,0,8.3634726743000005,-0.54449409910000002
83,2,0,9.4531192654999998,2.5429355229000001
84,2,0,7.2872798123000004,3.4025089675000002
84,2,0,8.3087995248999995,5.4551357736000003
84,2,0,9.4531192654999998,2.5429355229000001
85,2,0,7.3374348450000006,-3.2253250379000002
85,2,0,8.3634726743000005,-0.54449409910000002
85,2,0,9.8333333333000006,-3.0748338744000003
85,2,0,9.8333333333000006,-3.3083277738000003
86,2,0,7.3374348450000006,-3.2253250379000002
86,2,0,8.5925063304000009,-6.9402693660999999
86,2,0,9.8333333333000006,-3.6766970924
86,2,0,9.8333333333000006,-3.3083277738000003
87,2,0,7.5977397706000005,-8.5999999999999996
87,2,0,8.5925063304000009,-6.9402693660999999
87,2,0,9.8333333333000006,-8.3365619420999995
87,2,0,9.8333333333000006,-8.5999999999999996
88,2,0,8.3087995248999995,5.4551357736000003
88,2,0,8.9811602166000011,8.4000000000000004
88,2,0,9.1053861356999999,8.4000000000000004
88,2,0,9.8333333333000006,7.7926541695000004
88,2,0,9.8333333333000006,5.4902959483
