vertex,x,y,z,basis,conductor
1,1.1750000000000002e+01,-2.0499999999999967e+00,-8.5999999999999925e+00,1,0
2,1.0858062549900001e+01,-2.0499999999999967e+00,-8.5999999999999925e+00,2,0
3,9.5233990068000018e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,3,0
4,6.9641101095000018e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,4,0
5,6.5000000000000018e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,5,0
6,2.1041666666750007e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,6,0
7,-5.5000000000000009e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,7,0
8,-7.5416666666500038e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,8,0
9,-7.5977397706000023e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,9,0
10,-9.8333333333000024e+00,-2.0499999999999967e+00,-8.5999999999999925e+00,10,0
11,-9.8333333333000024e+00,-2.0499999999999967e+00,-8.3365619420999924e+00,11,0
12,-9.8333333333000024e+00,-2.0499999999999972e+00,-6.5999999999999943e+00,12,0
13,-9.8333333333000024e+00,-2.0499999999999972e+00,-6.5476897913999927e+00,13,0
14,-9.8333333333000024e+00,-2.0499999999999976e+00,-3.6766970923999982e+00,14,0
15,-9.8333333333000024e+00,-2.0499999999999976e+00,-3.3083277737999959e+00,15,0
16,-9.8333333333000024e+00,-2.0499999999999976e+00,-3.0748338744000003e+00,16,0
17,-9.8333333333000024e+00,-2.0499999999999976e+00,-1.2458333333249973e+00,17,0
18,-9.8333333333000024e+00,-2.0499999999999980e+00,-6.0000000000000420e-01,18,0
19,-9.8333333333000024e+00,-2.0499999999999980e+00,-4.2343121930000216e-01,19,0
20,-9.8333333333000024e+00,-2.0499999999999980e+00,3.9999999999999519e-01,20,0
21,-9.8333333333000024e+00,-2.0499999999999985e+00,2.2561429775999944e+00,21,0
22,-9.8333333333000024e+00,-2.0499999999999985e+00,2.9161749516999946e+00,22,0
23,-9.8333333333000024e+00,-2.0499999999999989e+00,5.4902959482999938e+00,23,0
24,-9.8333333333000024e+00,-2.0499999999999989e+00,6.3999999999999977e+00,24,0
25,-9.8333333333000024e+00,-2.0499999999999989e+00,7.7926541694999942e+00,25,0
26,-9.8333333333000024e+00,-2.0499999999999989e+00,8.3999999999999932e+00,26,0
27,-9.1053861357000034e+00,-2.0499999999999989e+00,8.3999999999999932e+00,27,0
28,-8.9811602166000046e+00,-2.0499999999999989e+00,8.3999999999999932e+00,28,0
29,-8.6462523628000003e+00,-2.0499999999999989e+00,8.3999999999999932e+00,29,0
30,-5.4999999999999973e+00,-2.0499999999999989e+00,8.3999999999999932e+00,30,0
31,-1.8749999997499922e-01,-2.0499999999999989e+00,8.3999999999999932e+00,31,0
32,6.5000000000000053e+00,-2.0499999999999994e+00,8.3999999999999932e+00,32,0
