x,y,z
7.9999999999999991e+00,-2.0499999999999998e+00,-7.9999999999999991e+00
3.9002337588000011e+00,-2.0499999999999998e+00,-8.0000000000000000e+00
1.9763412185000007e+00,-2.0499999999999998e+00,-8.0000000000000000e+00
5.0000000000000089e-01,-2.0499999999999998e+00,-8.0000000000000000e+00
-1.1576710718999981e+00,-2.0499999999999998e+00,-8.0000000000000000e+00
-1.9999999999999984e+00,-2.0499999999999998e+00,-8.0000000000000000e+00
-5.9999999999999973e+00,-2.0499999999999998e+00,-8.0000000000000018e+00
-5.9999999999999973e+00,-2.0499999999999998e+00,-7.0000000000000018e+00
-5.9999999999999982e+00,-2.0499999999999994e+00,-1.9911597065124963e-15
-5.9999999999999982e+00,-2.0499999999999994e+00,4.9999999999999800e-01
-5.9999999999999991e+00,-2.0499999999999994e+00,5.9999999999999982e+00
-5.9999999999999991e+00,-2.0499999999999994e+00,7.9999999999999982e+00
-1.9999999999999998e+00,-2.0499999999999994e+00,7.9999999999999991e+00
-1.9672740796000026e+00,-2.0499999999999994e+00,7.9999999999999991e+00
-1.0000000000000000e+00,-2.0499999999999994e+00,7.9999999999999991e+00
-8.9604480200002334e-02,-2.0499999999999994e+00,7.9999999999999991e+00
-3.5124312104301936e-16,-2.0499999999999994e+00,7.9999999999999991e+00
1.4999999999999993e+00,-2.0499999999999994e+00,7.9999999999999991e+00
5.9999999999999973e+00,-2.0499999999999994e+00,8.0000000000000018e+00
7.9999999999999973e+00,-2.0499999999999994e+00,8.0000000000000018e+00
7.9999999999999973e+00,-2.0499999999999994e+00,7.8176947147999991e+00
7.9999999999999973e+00,-2.0499999999999994e+00,7.0000000000000009e+00
7.9999999999999973e+00,-2.0499999999999994e+00,6.0000000000000009e+00
7.9999999999999982e+00,-2.0499999999999998e+00,6.6585457606902518e-16
7.9999999999999982e+00,-2.0499999999999998e+00,-4.9999999999999933e-01
7.9999999999999982e+00,-2.0499999999999998e+00,-5.4975481179999908e-01
7.9999999999999991e+00,-2.0499999999999998e+00,-5.4096645219999990e+00
7.9999999999999991e+00,-5.0000000000000044e-02,-7.9999999999999982e+00
3.9002337588000007e+00,-5.0000000000000017e-02,-7.9999999999999991e+00
1.9763412185000004e+00,-5.0000000000000003e-02,-8.0000000000000000e+00
5.0000000000000067e-01,-4.9999999999999996e-02,-8.0000000000000000e+00
-1.1576710718999983e+00,-4.9999999999999982e-02,-8.0000000000000000e+00
-1.9999999999999987e+00,-4.9999999999999975e-02,-8.0000000000000000e+00
-5.9999999999999973e+00,-4.9999999999999947e-02,-8.0000000000000018e+00
-5.9999999999999973e+00,-4.9999999999999940e-02,-7.0000000000000009e+00
-5.9999999999999982e+00,-4.9999999999999850e-02,-1.3314429648880759e-15
-5.9999999999999982e+00,-4.9999999999999843e-02,4.9999999999999867e-01
-5.9999999999999991e+00,-4.9999999999999781e-02,5.9999999999999991e+00
-5.9999999999999991e+00,-4.9999999999999753e-02,7.9999999999999991e+00
-2.0000000000000004e+00,-4.9999999999999781e-02,8.0000000000000000e+00
-1.9672740796000028e+00,-4.9999999999999781e-02,8.0000000000000000e+00
-1.0000000000000002e+00,-4.9999999999999788e-02,8.0000000000000000e+00
-8.9604480200002556e-02,-4.9999999999999795e-02,8.0000000000000000e+00
-5.6993677915788836e-16,-4.9999999999999795e-02,8.0000000000000000e+00
1.4999999999999991e+00,-4.9999999999999808e-02,8.0000000000000000e+00
5.9999999999999973e+00,-4.9999999999999836e-02,8.0000000000000018e+00
7.9999999999999973e+00,-4.9999999999999850e-02,8.0000000000000018e+00
7.9999999999999973e+00,-4.9999999999999850e-02,7.8176947148000000e+00
7.9999999999999973e+00,-4.9999999999999864e-02,7.0000000000000018e+00
7.9999999999999973e+00,-4.9999999999999878e-02,6.0000000000000018e+00
7.9999999999999982e+00,-4.9999999999999947e-02,1.3255713176934454e-15
7.9999999999999982e+00,-4.9999999999999954e-02,-4.9999999999999867e-01
7.9999999999999982e+00,-4.9999999999999954e-02,-5.4975481179999841e-01
7.9999999999999991e+00,-5.0000000000000010e-02,-5.4096645219999981e+00
7.9999999999999991e+00,-4.5822274916156690e-17,-7.9999999999999982e+00
3.9002337588000007e+00,-1.7974862554676330e-17,-7.9999999999999991e+00
1.9763412185000004e+00,-4.9069397130002356e-18,-8.0000000000000000e+00
5.0000000000000067e-01,5.1210180482662538e-18,-8.0000000000000000e+00
-1.1576710718999983e+00,1.6380647788859676e-17,-8.0000000000000000e+00
-1.9999999999999987e+00,2.2102115703073902e-17,-8.0000000000000000e+00
-5.9999999999999973e+00,4.9271871950766139e-17,-8.0000000000000018e+00
-5.9999999999999973e+00,6.1414936282603789e-17,-7.0000000000000009e+00
-5.9999999999999982e+00,1.4641638660546734e-16,-1.3149500463474653e-15
-5.9999999999999982e+00,1.5248791877138616e-16,4.9999999999999867e-01
-5.9999999999999991e+00,2.1927477259649323e-16,5.9999999999999991e+00
-5.9999999999999991e+00,2.4356090126016851e-16,7.9999999999999991e+00
-2.0000000000000004e+00,2.1639114501247630e-16,8.0000000000000000e+00
-1.9672740796000028e+00,2.1616885619241397e-16,8.0000000000000000e+00
-1.0000000000000002e+00,2.0959870595055324e-16,8.0000000000000000e+00
-8.9604480200002556e-02,2.0341489986006398e-16,8.0000000000000000e+00
-5.7540412061076006e-16,2.0280626688863018e-16,8.0000000000000000e+00
1.4999999999999991e+00,1.9261760829574559e-16,8.0000000000000000e+00
5.9999999999999973e+00,1.6205163251709182e-16,8.0000000000000018e+00
7.9999999999999973e+00,1.4846675439324570e-16,8.0000000000000018e+00
7.9999999999999973e+00,1.4625300958702807e-16,7.8176947148000000e+00
7.9999999999999973e+00,1.3632369006140805e-16,7.0000000000000018e+00
7.9999999999999973e+00,1.2418062572957040e-16,6.0000000000000018e+00
7.9999999999999982e+00,5.1322239738544507e-17,1.3420642362340559e-15
7.9999999999999982e+00,4.5250707572625682e-17,-4.9999999999999867e-01
7.9999999999999982e+00,4.4646531692119810e-17,-5.4975481179999841e-01
7.9999999999999991e+00,-1.4367664565761261e-17,-5.4096645219999981e+00
7.9999999999999991e+00,9.9999999999999950e-02,-7.9999999999999982e+00
3.9002337588000007e+00,9.9999999999999978e-02,-7.9999999999999991e+00
1.9763412185000004e+00,9.9999999999999992e-02,-8.0000000000000000e+00
5.0000000000000067e-01,1.0000000000000001e-01,-8.0000000000000000e+00
-1.1576710718999983e+00,1.0000000000000002e-01,-8.0000000000000000e+00
-1.9999999999999987e+00,1.0000000000000002e-01,-8.0000000000000000e+00
-5.9999999999999973e+00,1.0000000000000005e-01,-8.0000000000000018e+00
-5.9999999999999973e+00,1.0000000000000006e-01,-7.0000000000000009e+00
-5.9999999999999982e+00,1.0000000000000014e-01,-1.2819642092662442e-15
-5.9999999999999982e+00,1.0000000000000016e-01,4.9999999999999872e-01
-5.9999999999999991e+00,1.0000000000000021e-01,5.9999999999999991e+00
-5.9999999999999991e+00,1.0000000000000024e-01,7.9999999999999991e+00
-2.0000000000000004e+00,1.0000000000000021e-01,8.0000000000000000e+00
-1.9672740796000028e+00,1.0000000000000021e-01,8.0000000000000000e+00
-1.0000000000000002e+00,1.0000000000000021e-01,8.0000000000000000e+00
