Facet,Conductor,Plane,X,Y
1,1,0,0.089604480200000003,8
1,1,0,1,8
1,1,0,1,7.8778409091000006
1,1,0,0,7.8181818182000002
2,1,0,0.089604480200000003,8
2,1,0,0,7.8181818182000002
2,1,0,0,8
3,1,0,1,-1.9716983118
3,1,0,1,0
3,1,0,2,0
4,1,0,1,-1.9716983118
4,1,0,1,0
4,1,0,0,0
5,1,0,1,-1.9716983118
5,1,0,2,-3.9433966237
5,1,0,2,0
6,1,0,1,-1.9716983118
6,1,0,2,-3.9433966237
6,1,0,-1.7569382820000001,-2.7850449998000002
7,1,0,1,-1.9716983118
7,1,0,0,0
7,1,0,-1.7569382820000001,-2.7850449998000002
8,1,0,1,0
8,1,0,1,1.9694602273000001
8,1,0,2,0
9,1,0,1,0
9,1,0,1,1.9694602273000001
9,1,0,0,0
10,1,0,1,1.9694602273000001
10,1,0,1,3.9389204545000003
10,1,0,2,3.96875
11,1,0,1,1.9694602273000001
11,1,0,1,3.9389204545000003
11,1,0,0,3.9090909091000001
12,1,0,1,1.9694602273000001
12,1,0,2,0
12,1,0,2,3.96875
13,1,0,1,1.9694602273000001
13,1,0,0,0
13,1,0,0,3.9090909091000001
14,1,0,1,3.9389204545000003
14,1,0,1,5.9083806818000006
14,1,0,2,3.96875
15,1,0,1,3.9389204545000003
15,1,0,1,5.9083806818000006
15,1,0,0,3.9090909091000001
16,1,0,1,5.9083806818000006
16,1,0,1,7.8778409091000006
16,1,0,2,7.9375
17,1,0,1,5.9083806818000006
17,1,0,1,7.8778409091000006
17,1,0,0,7.8181818182000002
18,1,0,1,5.9083806818000006
18,1,0,2,3.96875
18,1,0,2,7.9375
19,1,0,1,5.9083806818000006
19,1,0,0,3.9090909091000001
19,1,0,0,7.8181818182000002
20,1,0,1,7.8778409091000006
20,1,0,1,8
20,1,0,1.9672740796000001,8
20,1,0,2,7.9375
21,1,0,1.1576710719000001,-8
21,1,0,2,-8
21,1,0,2,-3.9433966237
21,1,0,-1.2647809888000001,-6.1016653718000002
22,1,0,1.1576710719000001,-8
22,1,0,-1.2647809888000001,-6.1016653718000002
22,1,0,-1.9763412185,-8
23,1,0,1.9672740796000001,8
23,1,0,2,7.9375
23,1,0,2,8
24,1,0,2,-3.9433966237
24,1,0,-1.2647809888000001,-6.1016653718000002
24,1,0,-1.7569382820000001,-2.7850449998000002
25,1,0,0,0
25,1,0,-1.7569382820000001,-2.7850449998000002
25,1,0,-3.7900129539000003,0
26,1,0,-1.2647809888000001,-6.1016653718000002
26,1,0,-1.7569382820000001,-2.7850449998000002
26,1,0,-5.7298974670999998,-3.8801630035000003
27,1,0,-1.2647809888000001,-6.1016653718000002
27,1,0,-1.9763412185,-8
27,1,0,-3.9002337588000002,-8
27,1,0,-5.7298974670999998,-3.8801630035000003
28,1,0,-1.7569382820000001,-2.7850449998000002
28,1,0,-3.7900129539000003,0
28,1,0,-5.7298974670999998,-3.8801630035000003
29,1,0,-3.7900129539000003,0
29,1,0,-5.7298974670999998,-3.8801630035000003
29,1,0,-8,-0.54975481179999997
29,1,0,-8,0
30,1,0,-3.9002337588000002,-8
30,1,0,-5.7298974670999998,-3.8801630035000003
30,1,0,-8,-5.4096645219999999
30,1,0,-8,-8
31,1,0,-5.7298974670999998,-3.8801630035000003
31,1,0,-8,-0.54975481179999997
31,1,0,-8,-5.4096645219999999
32,1,0,-6,6
32,1,0,-6,8
32,1,0,-8,8
32,1,0,-8,7.8176947148
33,1,0,-6,6
33,1,0,-8,6
33,1,0,-8,7.8176947148
