triangle,vertex_i,vertex_j,vertex_k
1,1,2,29
2,1,29,28
3,2,3,30
4,2,30,29
5,3,4,31
6,3,31,30
7,4,5,32
8,4,32,31
9,5,6,33
10,5,33,32
11,6,7,34
12,6,34,33
13,7,8,35
14,7,35,34
15,8,9,36
16,8,36,35
17,9,10,37
18,9,37,36
19,10,11,38
20,10,38,37
21,11,12,39
22,11,39,38
23,12,13,40
24,12,40,39
25,13,14,41
26,13,41,40
27,14,15,42
28,14,42,41
29,15,16,43
30,15,43,42
31,16,17,44
32,16,44,43
33,17,18,45
34,17,45,44
35,18,19,46
36,18,46,45
37,19,20,47
38,19,47,46
39,20,21,48
40,20,48,47
41,21,22,49
42,21,49,48
43,22,23,50
44,22,50,49
45,23,24,51
46,23,51,50
47,24,25,52
48,24,52,51
49,25,26,53
50,25,53,52
51,26,27,54
52,26,54,53
53,27,1,28
54,27,28,54
55,28,29,56
56,28,56,55
57,29,30,57
58,29,57,56
59,30,31,58
60,30,58,57
61,31,32,59
62,31,59,58
63,32,33,60
64,32,60,59
65,33,34,61
66,33,61,60
67,34,35,62
68,34,62,61
69,35,36,63
70,35,63,62
71,36,37,64
72,36,64,63
73,37,38,65
74,37,65,64
75,38,39,66
76,38,66,65
77,39,40,67
78,39,67,66
79,40,41,68
80,40,68,67
81,41,42,69
82,41,69,68
83,42,43,70
84,42,70,69
85,43,44,71
86,43,71,70
87,44,45,72
88,44,72,71
89,45,46,73
90,45,73,72
91,46,47,74
92,46,74,73
93,47,48,75
94,47,75,74
95,48,49,76
96,48,76,75
97,49,50,77
98,49,77,76
99,50,51,78
100,50,78,77
101,51,52,79
102,51,79,78
103,52,53,80
104,52,80,79
105,53,54,81
106,53,81,80
107,54,28,55
108,54,55,81
109,55,56,83
110,55,83,82
111,56,57,84
112,56,84,83
113,57,58,85
114,57,85,84
115,58,59,86
116,58,86,85
117,59,60,87
118,59,87,86
119,60,61,88
120,60,88,87
121,61,62,89
122,61,89,88
123,62,63,90
124,62,90,89
125,63,64,91
126,63,91,90
127,64,65,92
128,64,92,91
129,65,66,93
130,65,93,92
131,66,67,94
132,66,94,93
133,67,68,95
134,67,95,94
135,68,69,96
136,68,96,95
137,69,70,97
138,69,97,96
139,70,71,98
140,70,98,97
141,71,72,99
142,71,99,98
143,72,73,100
144,72,100,99
145,73,74,101
146,73,101,100
147,74,75,102
148,74,102,101
149,75,76,103
150,75,103,102
151,76,77,104
152,76,104,103
153,77,78,105
154,77,105,104
155,78,79,106
156,78,106,105
157,79,80,107
158,79,107,106
159,80,81,108
160,80,108,107
161,81,55,82
162,81,82,108
163,82,83,110
164,82,110,109
165,83,84,111
166,83,111,110
167,84,85,112
168,84,112,111
169,85,86,113
170,85,113,112
171,86,87,114
172,86,114,113
173,87,88,115
174,87,115,114
175,88,89,116
176,88,116,115
177,89,90,117
178,89,117,116
179,90,91,118
180,90,118,117
181,91,92,119
182,91,119,118
183,92,93,120
184,92,120,119
185,93,94,121
186,93,121,120
187,94,95,122
188,94,122,121
189,95,96,123
190,95,123,122
191,96,97,124
192,96,124,123
193,97,98,125
194,97,125,124
195,98,99,126
196,98,126,125
197,99,100,127
198,99,127,126
199,100,101,128
200,100,128,127
201,101,102,129
202,101,129,128
203,102,103,130
204,102,130,129
205,103,104,131
206,103,131,130
207,104,105,132
208,104,132,131
209,105,106,133
210,105,133,132
211,106,107,134
212,106,134,133
213,107,108,135
214,107,135,134
215,108,82,109
216,108,109,135
217,2,1,27
218,3,2,27
219,4,3,27
220,5,4,27
221,6,5,27
222,7,6,27
223,8,7,27
224,9,8,27
225,10,9,27
226,11,10,27
227,12,11,27
228,13,12,27
229,14,13,27
230,15,14,27
231,16,15,27
232,17,16,27
233,18,17,27
234,19,18,27
235,21,20,19
236,22,21,19
237,23,22,19
238,24,23,19
239,25,24,19
240,26,25,19
241,26,19,27
242,135,109,110
243,135,110,111
244,135,111,112
245,135,112,113
246,135,113,114
247,135,114,115
248,135,115,116
249,135,116,117
250,135,117,118
251,135,118,119
252,135,119,120
253,135,120,121
254,135,121,122
255,135,122,123
256,135,123,124
257,135,124,125
258,135,125,126
259,135,126,127
260,127,128,129
261,127,129,130
262,127,130,131
263,127,131,132
264,127,132,133
265,127,133,134
266,135,127,134
