vertex,x,y,z,basis,conductor
1,7.9999999999999991e+00,-2.0499999999999998e+00,-7.9999999999999991e+00,1,0
2,3.9002337588000011e+00,-2.0499999999999998e+00,-8.0000000000000000e+00,2,0
3,1.9763412185000007e+00,-2.0499999999999998e+00,-8.0000000000000000e+00,3,0
4,5.0000000000000089e-01,-2.0499999999999998e+00,-8.0000000000000000e+00,4,0
5,-1.1576710718999981e+00,-2.0499999999999998e+00,-8.0000000000000000e+00,5,0
6,-1.9999999999999984e+00,-2.0499999999999998e+00,-8.0000000000000000e+00,6,0
7,-5.9999999999999973e+00,-2.0499999999999998e+00,-8.0000000000000018e+00,7,0
8,-5.9999999999999973e+00,-2.0499999999999998e+00,-7.0000000000000018e+00,8,0
9,-5.9999999999999982e+00,-2.0499999999999994e+00,-1.9911597065124963e-15,9,0
10,-5.9999999999999982e+00,-2.0499999999999994e+00,4.9999999999999800e-01,10,0
11,-5.9999999999999991e+00,-2.0499999999999994e+00,5.9999999999999982e+00,11,0
12,-5.9999999999999991e+00,-2.0499999999999994e+00,7.9999999999999982e+00,12,0
13,-1.9999999999999998e+00,-2.0499999999999994e+00,7.9999999999999991e+00,13,0
14,-1.9672740796000026e+00,-2.0499999999999994e+00,7.9999999999999991e+00,14,0
15,-1.0000000000000000e+00,-2.0499999999999994e+00,7.9999999999999991e+00,15,0
16,-8.9604480200002334e-02,-2.0499999999999994e+00,7.9999999999999991e+00,16,0
17,-3.5124312104301936e-16,-2.0499999999999994e+00,7.9999999999999991e+00,17,0
18,1.4999999999999993e+00,-2.0499999999999994e+00,7.9999999999999991e+00,18,0
19,5.9999999999999973e+00,-2.0499999999999994e+00,8.0000000000000018e+00,19,0
20,7.9999999999999973e+00,-2.0499999999999994e+00,8.0000000000000018e+00,20,0
21,7.9999999999999973e+00,-2.0499999999999994e+00,7.8176947147999991e+00,21,0
22,7.9999999999999973e+00,-2.0499999999999994e+00,7.0000000000000009e+00,22,0
23,7.9999999999999973e+00,-2.0499999999999994e+00,6.0000000000000009e+00,23,0
24,7.9999999999999982e+00,-2.0499999999999998e+00,6.6585457606902518e-16,24,0
25,7.9999999999999982e+00,-2.0499999999999998e+00,-4.9999999999999933e-01,25,0
26,7.9999999999999982e+00,-2.0499999999999998e+00,-5.4975481179999908e-01,26,0
27,7.9999999999999991e+00,-2.0499999999999998e+00,-5.4096645219999990e+00,27,0
28,7.9999999999999991e+00,-5.0000000000000044e-02,-7.9999999999999982e+00,28,0
29,3.9002337588000007e+00,-5.0000000000000017e-02,-7.9999999999999991e+00,29,0
30,1.9763412185000004e+00,-5.0000000000000003e-02,-8.0000000000000000e+00,30,0
31,5.0000000000000067e-01,-4.9999999999999996e-02,-8.0000000000000000e+00,31,0
32,-1.1576710718999983e+00,-4.9999999999999982e-02,-8.0000000000000000e+00,32,0
33,-1.9999999999999987e+00,-4.9999999999999975e-02,-8.0000000000000000e+00,33,0
34,-5.9999999999999973e+00,-4.9999999999999947e-02,-8.0000000000000018e+00,34,0
35,-5.9999999999999973e+00,-4.9999999999999940e-02,-7.0000000000000009e+00,35,0
36,-5.9999999999999982e+00,-4.9999999999999850e-02,-1.3314429648880759e-15,36,0
37,-5.9999999999999982e+00,-4.9999999999999843e-02,4.9999999999999867e-01,37,0
38,-5.9999999999999991e+00,-4.9999999999999781e-02,5.9999999999999991e+00,38,0
39,-5.9999999999999991e+00,-4.9999999999999753e-02,7.9999999999999991e+00,39,0
40,-2.0000000000000004e+00,-4.9999999999999781e-02,8.0000000000000000e+00,40,0
41,-1.9672740796000028e+00,-4.9999999999999781e-02,8.0000000000000000e+00,41,0
42,-1.0000000000000002e+00,-4.9999999999999788e-02,8.0000000000000000e+00,42,0
43,-8.9604480200002556e-02,-4.9999999999999795e-02,8.0000000000000000e+00,43,0
44,-5.6993677915788836e-16,-4.9999999999999795e-02,8.0000000000000000e+00,44,0
45,1.4999999999999991e+00,-4.9999999999999808e-02,8.0000000000000000e+00,45,0
46,5.9999999999999973e+00,-4.9999999999999836e-02,8.0000000000000018e+00,46,0
47,7.9999999999999973e+00,-4.9999999999999850e-02,8.0000000000000018e+00,47,0
48,7.9999999999999973e+00,-4.9999999999999850e-02,7.8176947148000000e+00,48,0
49,7.9999999999999973e+00,-4.9999999999999864e-02,7.0000000000000018e+00,49,0
