x,y,z
4.0000000000000009e+00,-2.0500000000000007e+00,-8.0000000000000018e+00
9.1592075730643756e-16,-2.0500000000000007e+00,-8.0000000000000018e+00
-1.4840742039999899e-01,-2.0500000000000007e+00,-8.0000000000000018e+00
-9.9999999999999922e-01,-2.0500000000000007e+00,-8.0000000000000018e+00
-1.9047973223999997e+00,-2.0500000000000007e+00,-8.0000000000000018e+00
-1.9999999999999996e+00,-2.0500000000000007e+00,-8.0000000000000018e+00
-2.4999999999999996e+00,-2.0500000000000007e+00,-8.0000000000000018e+00
-6.0000000000000018e+00,-2.0500000000000007e+00,-8.0000000000000000e+00
-6.0000000000000018e+00,-2.0500000000000007e+00,-6.0000000000000000e+00
-6.0000000000000018e+00,-2.0500000000000003e+00,-5.0000000000000000e+00
-6.0000000000000018e+00,-2.0500000000000003e+00,1.4999999999999996e+00
-6.0000000000000018e+00,-2.0500000000000003e+00,6.0000000000000000e+00
-6.0000000000000018e+00,-2.0499999999999998e+00,7.9999999999999991e+00
-1.9999999999999996e+00,-2.0499999999999998e+00,7.9999999999999991e+00
-1.9147802928999977e+00,-2.0499999999999998e+00,7.9999999999999991e+00
-9.9999999999999956e-01,-2.0499999999999998e+00,7.9999999999999991e+00
-9.8412698410000088e-01,-2.0499999999999998e+00,7.9999999999999991e+00
-8.1418253399998364e-02,-2.0499999999999998e+00,7.9999999999999991e+00
6.2614635953642273e-16,-2.0499999999999998e+00,7.9999999999999991e+00
5.0000000000000078e-01,-2.0499999999999998e+00,7.9999999999999991e+00
4.0000000000000009e+00,-2.0499999999999998e+00,7.9999999999999982e+00
4.0000000000000009e+00,-2.0499999999999998e+00,5.9999999999999982e+00
4.0000000000000009e+00,-2.0500000000000003e+00,4.9999999999999982e+00
4.0000000000000009e+00,-2.0500000000000003e+00,-1.5000000000000016e+00
4.0000000000000009e+00,-2.0500000000000007e+00,-6.0000000000000018e+00
4.0000000000000009e+00,-5.0000000000000301e-02,-8.0000000000000000e+00
5.5735733901165642e-16,-5.0000000000000315e-02,-8.0000000000000000e+00
-1.4840742039999935e-01,-5.0000000000000315e-02,-8.0000000000000000e+00
-9.9999999999999956e-01,-5.0000000000000315e-02,-8.0000000000000000e+00
-1.9047973224000001e+00,-5.0000000000000322e-02,-8.0000000000000000e+00
-2.0000000000000000e+00,-5.0000000000000322e-02,-8.0000000000000000e+00
-2.5000000000000000e+00,-5.0000000000000322e-02,-8.0000000000000000e+00
-6.0000000000000018e+00,-5.0000000000000329e-02,-7.9999999999999991e+00
-6.0000000000000018e+00,-5.0000000000000253e-02,-5.9999999999999991e+00
-6.0000000000000018e+00,-5.0000000000000218e-02,-4.9999999999999991e+00
-6.0000000000000018e+00,-4.9999999999999968e-02,1.5000000000000007e+00
-6.0000000000000018e+00,-4.9999999999999795e-02,6.0000000000000009e+00
-6.0000000000000018e+00,-4.9999999999999718e-02,8.0000000000000000e+00
-2.0000000000000000e+00,-4.9999999999999711e-02,8.0000000000000000e+00
-1.9147802928999982e+00,-4.9999999999999711e-02,8.0000000000000000e+00
-1.0000000000000000e+00,-4.9999999999999704e-02,8.0000000000000000e+00
-9.8412698410000121e-01,-4.9999999999999704e-02,8.0000000000000000e+00
-8.1418253399998711e-02,-4.9999999999999704e-02,8.0000000000000000e+00
2.6758294124164154e-16,-4.9999999999999704e-02,8.0000000000000000e+00
5.0000000000000033e-01,-4.9999999999999697e-02,8.0000000000000000e+00
4.0000000000000009e+00,-4.9999999999999691e-02,7.9999999999999991e+00
4.0000000000000009e+00,-4.9999999999999767e-02,5.9999999999999991e+00
4.0000000000000009e+00,-4.9999999999999802e-02,4.9999999999999991e+00
4.0000000000000009e+00,-5.0000000000000051e-02,-1.5000000000000004e+00
4.0000000000000009e+00,-5.0000000000000225e-02,-6.0000000000000009e+00
4.0000000000000009e+00,-2.8444711759150500e-16,-8.0000000000000000e+00
5.4839325355428679e-16,-2.9778600138922062e-16,-8.0000000000000000e+00
-1.4840742039999935e-01,-2.9828089872307921e-16,-8.0000000000000000e+00
-9.9999999999999956e-01,-3.0112072233864951e-16,-8.0000000000000000e+00
-1.9047973224000001e+00,-3.0413796892464401e-16,-8.0000000000000000e+00
-2.0000000000000000e+00,-3.0445544328807846e-16,-8.0000000000000000e+00
-2.5000000000000000e+00,-3.0612280376279288e-16,-8.0000000000000000e+00
-6.0000000000000018e+00,-3.1779432708579408e-16,-7.9999999999999991e+00
-6.0000000000000018e+00,-2.4146649414281457e-16,-5.9999999999999991e+00
-6.0000000000000018e+00,-2.0330257767132476e-16,-4.9999999999999991e+00
-6.0000000000000018e+00,4.4762879393358641e-17,1.5000000000000007e+00
-6.0000000000000018e+00,2.1650050351506256e-16,6.0000000000000009e+00
-6.0000000000000018e+00,2.9282833645804202e-16,8.0000000000000000e+00
-2.0000000000000000e+00,3.0616722025575764e-16,8.0000000000000000e+00
-1.9147802928999982e+00,3.0645140419832821e-16,8.0000000000000000e+00
-1.0000000000000000e+00,3.0950194120518658e-16,8.0000000000000000e+00
-9.8412698410000121e-01,3.0955487328383890e-16,8.0000000000000000e+00
-8.1418253399998725e-02,3.1256515499933657e-16,8.0000000000000000e+00
2.5861885578427201e-16,3.1283666215461548e-16,8.0000000000000000e+00
5.0000000000000033e-01,3.1450402262932995e-16,8.0000000000000000e+00
4.0000000000000009e+00,3.2617554595233110e-16,7.9999999999999991e+00
4.0000000000000009e+00,2.4984771300935159e-16,5.9999999999999991e+00
4.0000000000000009e+00,2.1168379653786185e-16,4.9999999999999991e+00
4.0000000000000009e+00,-3.6381660526821566e-17,-1.5000000000000004e+00
4.0000000000000009e+00,-2.0811928464852546e-16,-6.0000000000000009e+00
4.0000000000000009e+00,9.9999999999999756e-02,-8.0000000000000000e+00
5.3046508263954774e-16,9.9999999999999742e-02,-8.0000000000000000e+00
-1.4840742039999938e-01,9.9999999999999742e-02,-8.0000000000000000e+00
-9.9999999999999956e-01,9.9999999999999728e-02,-8.0000000000000000e+00
-1.9047973224000001e+00,9.9999999999999728e-02,-8.0000000000000000e+00
