Facet,Conductor,Plane,X,Y
1,1,0,0.081418253400000001,8
1,1,0,0.98412698409999999,8
1,1,0,1,7.9971590909000003
1,1,0,1,6.0127840909000003
2,1,0,0.081418253400000001,8
2,1,0,1,6.0127840909000003
2,1,0,0,4.2073863636000004
2,1,0,0,8
3,1,0,0.14840742040000002,-8
3,1,0,1,-8
3,1,0,1,-7.7585227272999999
3,1,0,0,-7.6988636364000005
4,1,0,0.14840742040000002,-8
4,1,0,0,-7.6988636364000005
4,1,0,0,-8
5,1,0,0.98412698409999999,8
5,1,0,1,7.9971590909000003
5,1,0,1,8
6,1,0,1,-1.8501420455000002
6,1,0,1,-3.8196022727000001
6,1,0,2,-3.9090909091000001
7,1,0,1,-1.8501420455000002
7,1,0,1,-3.8196022727000001
7,1,0,0,-3.7301136364
8,1,0,1,-1.8501420455000002
8,1,0,1,0.11931818180000001
8,1,0,2,0
9,1,0,1,-1.8501420455000002
9,1,0,1,0.11931818180000001
9,1,0,0,0.23863636360000001
10,1,0,1,-1.8501420455000002
10,1,0,2,-3.9090909091000001
10,1,0,2,0
11,1,0,1,-1.8501420455000002
11,1,0,0,-3.7301136364
11,1,0,0,0.23863636360000001
12,1,0,1,-3.8196022727000001
12,1,0,1,-5.7890625
12,1,0,2,-3.9090909091000001
13,1,0,1,-3.8196022727000001
13,1,0,1,-5.7890625
13,1,0,0,-3.7301136364
14,1,0,1,-5.7890625
14,1,0,1,-7.7585227272999999
14,1,0,2,-7.8181818182000002
15,1,0,1,-5.7890625
15,1,0,1,-7.7585227272999999
15,1,0,0,-7.6988636364000005
16,1,0,1,-5.7890625
16,1,0,2,-3.9090909091000001
16,1,0,2,-7.8181818182000002
17,1,0,1,-5.7890625
17,1,0,0,-3.7301136364
17,1,0,0,-7.6988636364000005
18,1,0,1,-7.7585227272999999
18,1,0,1,-8
18,1,0,1.9047973224000001,-8
18,1,0,2,-7.8181818182000002
19,1,0,1,0.11931818180000001
19,1,0,1,2.0738636364
19,1,0,2,0
20,1,0,1,0.11931818180000001
20,1,0,1,2.0738636364
20,1,0,0,0.23863636360000001
21,1,0,1,2.0738636364
21,1,0,1,4.0582386364000005
21,1,0,2,3.9090909091000001
22,1,0,1,2.0738636364
22,1,0,1,4.0582386364000005
22,1,0,0,4.2073863636000004
23,1,0,1,2.0738636364
23,1,0,2,0
23,1,0,2,3.9090909091000001
24,1,0,1,2.0738636364
24,1,0,0,0.23863636360000001
24,1,0,0,4.2073863636000004
25,1,0,1,4.0582386364000005
25,1,0,1,6.0127840909000003
25,1,0,2,3.9090909091000001
26,1,0,1,4.0582386364000005
26,1,0,1,6.0127840909000003
26,1,0,0,4.2073863636000004
27,1,0,1,6.0127840909000003
27,1,0,1,7.9971590909000003
27,1,0,2,7.8181818182000002
28,1,0,1,6.0127840909000003
28,1,0,2,3.9090909091000001
28,1,0,2,7.8181818182000002
29,1,0,1,7.9971590909000003
29,1,0,1,8
29,1,0,1.9147802929000002,8
29,1,0,2,7.8181818182000002
30,1,0,1.9047973224000001,-8
30,1,0,2,-7.8181818182000002
30,1,0,2,-8
31,1,0,1.9147802929000002,8
31,1,0,2,7.8181818182000002
31,1,0,2,8
