triangle,vertex_i,vertex_j,vertex_k
1,1,2,27
2,1,27,26
3,2,3,28
4,2,28,27
5,3,4,29
6,3,29,28
7,4,5,30
8,4,30,29
9,5,6,31
10,5,31,30
11,6,7,32
12,6,32,31
13,7,8,33
14,7,33,32
15,8,9,34
16,8,34,33
17,9,10,35
18,9,35,34
19,10,11,36
20,10,36,35
21,11,12,37
22,11,37,36
23,12,13,38
24,12,38,37
25,13,14,39
26,13,39,38
27,14,15,40
28,14,40,39
29,15,16,41
30,15,41,40
31,16,17,42
32,16,42,41
33,17,18,43
34,17,43,42
35,18,19,44
36,18,44,43
37,19,20,45
38,19,45,44
39,20,21,46
40,20,46,45
41,21,22,47
42,21,47,46
43,22,23,48
44,22,48,47
45,23,24,49
46,23,49,48
47,24,25,50
48,24,50,49
49,25,1,26
50,25,26,50
51,26,27,52
52,26,52,51
53,27,28,53
54,27,53,52
55,28,29,54
56,28,54,53
57,29,30,55
58,29,55,54
59,30,31,56
60,30,56,55
61,31,32,57
62,31,57,56
63,32,33,58
64,32,58,57
65,33,34,59
66,33,59,58
67,34,35,60
68,34,60,59
69,35,36,61
70,35,61,60
71,36,37,62
72,36,62,61
73,37,38,63
74,37,63,62
75,38,39,64
76,38,64,63
77,39,40,65
78,39,65,64
79,40,41,66
80,40,66,65
81,41,42,67
82,41,67,66
83,42,43,68
84,42,68,67
85,43,44,69
86,43,69,68
87,44,45,70
88,44,70,69
89,45,46,71
90,45,71,70
91,46,47,72
92,46,72,71
93,47,48,73
94,47,73,72
95,48,49,74
96,48,74,73
97,49,50,75
98,49,75,74
99,50,26,51
100,50,51,75
101,51,52,77
102,51,77,76
103,52,53,78
104,52,78,77
105,53,54,79
106,53,79,78
107,54,55,80
108,54,80,79
109,55,56,81
110,55,81,80
111,56,57,82
112,56,82,81
113,57,58,83
114,57,83,82
115,58,59,84
116,58,84,83
117,59,60,85
118,59,85,84
119,60,61,86
120,60,86,85
121,61,62,87
122,61,87,86
123,62,63,88
124,62,88,87
125,63,64,89
126,63,89,88
127,64,65,90
128,64,90,89
129,65,66,91
130,65,91,90
131,66,67,92
132,66,92,91
133,67,68,93
134,67,93,92
135,68,69,94
136,68,94,93
137,69,70,95
138,69,95,94
139,70,71,96
140,70,96,95
141,71,72,97
142,71,97,96
143,72,73,98
144,72,98,97
145,73,74,99
146,73,99,98
147,74,75,100
148,74,100,99
149,75,51,76
150,75,76,100
151,76,77,102
152,76,102,101
153,77,78,103
154,77,103,102
155,78,79,104
156,78,104,103
157,79,80,105
158,79,105,104
159,80,81,106
160,80,106,105
161,81,82,107
162,81,107,106
163,82,83,108
164,82,108,107
165,83,84,109
166,83,109,108
167,84,85,110
168,84,110,109
169,85,86,111
170,85,111,110
171,86,87,112
172,86,112,111
173,87,88,113
174,87,113,112
175,88,89,114
176,88,114,113
177,89,90,115
178,89,115,114
179,90,91,116
180,90,116,115
181,91,92,117
182,91,117,116
183,92,93,118
184,92,118,117
185,93,94,119
186,93,119,118
187,94,95,120
188,94,120,119
189,95,96,121
190,95,121,120
191,96,97,122
192,96,122,121
193,97,98,123
194,97,123,122
195,98,99,124
196,98,124,123
197,99,100,125
198,99,125,124
199,100,76,101
200,100,101,125
201,2,1,25
202,3,2,25
203,4,3,25
204,5,4,25
205,6,5,25
206,7,6,25
207,8,7,25
208,9,8,25
209,10,9,25
210,11,10,25
211,12,11,25
212,13,12,25
213,14,13,25
214,15,14,25
215,16,15,25
216,17,16,25
217,18,17,25
218,19,18,25
219,20,19,25
220,22,21,20
221,23,22,20
222,24,23,20
223,24,20,25
224,125,101,102
225,125,102,103
226,125,103,104
227,125,104,105
228,125,105,106
229,125,106,107
230,125,107,108
231,125,108,109
232,125,109,110
233,125,110,111
234,125,111,112
235,125,112,113
236,125,113,114
237,125,114,115
238,125,115,116
239,125,116,117
240,125,117,118
241,125,118,119
242,125,119,120
243,120,121,122
244,120,122,123
245,120,123,124
246,125,120,124
