vertex,x,y,z,basis,conductor
1,4.0000000000000009e+00,-2.0500000000000007e+00,-8.0000000000000018e+00,1,0
2,9.1592075730643756e-16,-2.0500000000000007e+00,-8.0000000000000018e+00,2,0
3,-1.4840742039999899e-01,-2.0500000000000007e+00,-8.0000000000000018e+00,3,0
4,-9.9999999999999922e-01,-2.0500000000000007e+00,-8.0000000000000018e+00,4,0
5,-1.9047973223999997e+00,-2.0500000000000007e+00,-8.0000000000000018e+00,5,0
6,-1.9999999999999996e+00,-2.0500000000000007e+00,-8.0000000000000018e+00,6,0
7,-2.4999999999999996e+00,-2.0500000000000007e+00,-8.0000000000000018e+00,7,0
8,-6.0000000000000018e+00,-2.0500000000000007e+00,-8.0000000000000000e+00,8,0
9,-6.0000000000000018e+00,-2.0500000000000007e+00,-6.0000000000000000e+00,9,0
10,-6.0000000000000018e+00,-2.0500000000000003e+00,-5.0000000000000000e+00,10,0
11,-6.0000000000000018e+00,-2.0500000000000003e+00,1.4999999999999996e+00,11,0
12,-6.0000000000000018e+00,-2.0500000000000003e+00,6.0000000000000000e+00,12,0
13,-6.0000000000000018e+00,-2.0499999999999998e+00,7.9999999999999991e+00,13,0
14,-1.9999999999999996e+00,-2.0499999999999998e+00,7.9999999999999991e+00,14,0
15,-1.9147802928999977e+00,-2.0499999999999998e+00,7.9999999999999991e+00,15,0
16,-9.9999999999999956e-01,-2.0499999999999998e+00,7.9999999999999991e+00,16,0
17,-9.8412698410000088e-01,-2.0499999999999998e+00,7.9999999999999991e+00,17,0
18,-8.1418253399998364e-02,-2.0499999999999998e+00,7.9999999999999991e+00,18,0
19,6.2614635953642273e-16,-2.0499999999999998e+00,7.9999999999999991e+00,19,0
20,5.0000000000000078e-01,-2.0499999999999998e+00,7.9999999999999991e+00,20,0
21,4.0000000000000009e+00,-2.0499999999999998e+00,7.9999999999999982e+00,21,0
22,4.0000000000000009e+00,-2.0499999999999998e+00,5.9999999999999982e+00,22,0
23,4.0000000000000009e+00,-2.0500000000000003e+00,4.9999999999999982e+00,23,0
24,4.0000000000000009e+00,-2.0500000000000003e+00,-1.5000000000000016e+00,24,0
25,4.0000000000000009e+00,-2.0500000000000007e+00,-6.0000000000000018e+00,25,0
26,4.0000000000000009e+00,-5.0000000000000301e-02,-8.0000000000000000e+00,26,0
27,5.5735733901165642e-16,-5.0000000000000315e-02,-8.0000000000000000e+00,27,0
28,-1.4840742039999935e-01,-5.0000000000000315e-02,-8.0000000000000000e+00,28,0
29,-9.9999999999999956e-01,-5.0000000000000315e-02,-8.0000000000000000e+00,29,0
30,-1.9047973224000001e+00,-5.0000000000000322e-02,-8.0000000000000000e+00,30,0
31,-2.0000000000000000e+00,-5.0000000000000322e-02,-8.0000000000000000e+00,31,0
32,-2.5000000000000000e+00,-5.0000000000000322e-02,-8.0000000000000000e+00,32,0
33,-6.0000000000000018e+00,-5.0000000000000329e-02,-7.9999999999999991e+00,33,0
34,-6.0000000000000018e+00,-5.0000000000000253e-02,-5.9999999999999991e+00,34,0
35,-6.0000000000000018e+00,-5.0000000000000218e-02,-4.9999999999999991e+00,35,0
36,-6.0000000000000018e+00,-4.9999999999999968e-02,1.5000000000000007e+00,36,0
37,-6.0000000000000018e+00,-4.9999999999999795e-02,6.0000000000000009e+00,37,0
38,-6.0000000000000018e+00,-4.9999999999999718e-02,8.0000000000000000e+00,38,0
39,-2.0000000000000000e+00,-4.9999999999999711e-02,8.0000000000000000e+00,39,0
40,-1.9147802928999982e+00,-4.9999999999999711e-02,8.0000000000000000e+00,40,0
41,-1.0000000000000000e+00,-4.9999999999999704e-02,8.0000000000000000e+00,41,0
42,-9.8412698410000121e-01,-4.9999999999999704e-02,8.0000000000000000e+00,42,0
43,-8.1418253399998711e-02,-4.9999999999999704e-02,8.0000000000000000e+00,43,0
44,2.6758294124164154e-16,-4.9999999999999704e-02,8.0000000000000000e+00,44,0
45,5.0000000000000033e-01,-4.9999999999999697e-02,8.0000000000000000e+00,45,0
46,4.0000000000000009e+00,-4.9999999999999691e-02,7.9999999999999991e+00,46,0
47,4.0000000000000009e+00,-4.9999999999999767e-02,5.9999999999999991e+00,47,0
48,4.0000000000000009e+00,-4.9999999999999802e-02,4.9999999999999991e+00,48,0
49,4.0000000000000009e+00,-5.0000000000000051e-02,-1.5000000000000004e+00,49,0
50,4.0000000000000009e+00,-5.0000000000000225e-02,-6.0000000000000009e+00,50,0
51,4.0000000000000009e+00,-2.8444711759150500e-16,-8.0000000000000000e+00,51,0
52,5.4839325355428679e-16,-2.9778600138922062e-16,-8.0000000000000000e+00,52,1
53,-1.4840742039999935e-01,-2.9828089872307921e-16,-8.0000000000000000e+00,53,1
54,-9.9999999999999956e-01,-3.0112072233864951e-16,-8.0000000000000000e+00,54,1
55,-1.9047973224000001e+00,-3.0413796892464401e-16,-8.0000000000000000e+00,55,1
56,-2.0000000000000000e+00,-3.0445544328807846e-16,-8.0000000000000000e+00,56,1
57,-2.5000000000000000e+00,-3.0612280376279288e-16,-8.0000000000000000e+00,57,0
58,-6.0000000000000018e+00,-3.1779432708579408e-16,-7.9999999999999991e+00,58,0
59,-6.0000000000000018e+00,-2.4146649414281457e-16,-5.9999999999999991e+00,59,0
60,-6.0000000000000018e+00,-2.0330257767132476e-16,-4.9999999999999991e+00,60,0
61,-6.0000000000000018e+00,4.4762879393358641e-17,1.5000000000000007e+00,61,0
62,-6.0000000000000018e+00,2.1650050351506256e-16,6.0000000000000009e+00,62,0
63,-6.0000000000000018e+00,2.9282833645804202e-16,8.0000000000000000e+00,63,0
64,-2.0000000000000000e+00,3.0616722025575764e-16,8.0000000000000000e+00,64,1
65,-1.9147802928999982e+00,3.0645140419832821e-16,8.0000000000000000e+00,65,1
66,-1.0000000000000000e+00,3.0950194120518658e-16,8.0000000000000000e+00,66,1
67,-9.8412698410000121e-01,3.0955487328383890e-16,8.0000000000000000e+00,67,1
68,-8.1418253399998725e-02,3.1256515499933657e-16,8.0000000000000000e+00,68,1
