x,y,z
4.9999999999999964e+00,-2.0500000000000025e+00,-2.0000000000000018e+00
1.4999999999999980e+00,-2.0500000000000025e+00,-2.0000000000000018e+00
-2.0000000000000000e+00,-2.0500000000000025e+00,-2.0000000000000018e+00
-3.9999999999999991e+00,-2.0500000000000025e+00,-2.0000000000000018e+00
-3.9999999999999987e+00,-2.0500000000000025e+00,-5.0000000000000044e-01
-3.9999999999999987e+00,-2.0500000000000025e+00,-4.7058789443919132e-17
-3.9999999999999987e+00,-2.0500000000000025e+00,1.8181818180000076e-01
-3.9999999999999987e+00,-2.0500000000000025e+00,5.0000000000000044e-01
-3.9999999999999987e+00,-2.0500000000000025e+00,8.1818181820000002e-01
-3.9999999999999982e+00,-2.0500000000000025e+00,1.0000000000000007e+00
-3.9999999999999978e+00,-2.0500000000000025e+00,3.0000000000000027e+00
-4.9999999999999989e-01,-2.0500000000000025e+00,3.0000000000000027e+00
2.9999999999999991e+00,-2.0500000000000025e+00,3.0000000000000027e+00
4.9999999999999982e+00,-2.0500000000000025e+00,3.0000000000000027e+00
4.9999999999999973e+00,-2.0500000000000025e+00,1.5000000000000016e+00
4.9999999999999973e+00,-2.0500000000000025e+00,1.0000000000000011e+00
4.9999999999999973e+00,-2.0500000000000025e+00,8.1818181820000035e-01
4.9999999999999973e+00,-2.0500000000000025e+00,1.8181818180000106e-01
4.9999999999999973e+00,-2.0500000000000025e+00,2.3927971137390941e-16
4.9999999999999973e+00,-4.9999999999999926e-02,-2.0000000000000018e+00
1.4999999999999987e+00,-4.9999999999999920e-02,-2.0000000000000018e+00
-1.9999999999999998e+00,-4.9999999999999906e-02,-2.0000000000000018e+00
-3.9999999999999987e+00,-4.9999999999999899e-02,-2.0000000000000018e+00
-3.9999999999999982e+00,-4.9999999999999954e-02,-5.0000000000000056e-01
-3.9999999999999982e+00,-4.9999999999999975e-02,-1.0459179665949524e-16
-3.9999999999999982e+00,-4.9999999999999982e-02,1.8181818180000070e-01
-3.9999999999999982e+00,-4.9999999999999996e-02,5.0000000000000033e-01
-3.9999999999999982e+00,-5.0000000000000003e-02,8.1818181819999991e-01
-3.9999999999999978e+00,-5.0000000000000010e-02,1.0000000000000007e+00
-3.9999999999999973e+00,-5.0000000000000086e-02,3.0000000000000027e+00
-4.9999999999999933e-01,-5.0000000000000093e-02,3.0000000000000027e+00
2.9999999999999996e+00,-5.0000000000000107e-02,3.0000000000000027e+00
4.9999999999999991e+00,-5.0000000000000107e-02,3.0000000000000027e+00
4.9999999999999982e+00,-5.0000000000000058e-02,1.5000000000000016e+00
4.9999999999999982e+00,-5.0000000000000037e-02,1.0000000000000011e+00
4.9999999999999982e+00,-5.0000000000000031e-02,8.1818181820000024e-01
4.9999999999999982e+00,-5.0000000000000010e-02,1.8181818180000101e-01
4.9999999999999982e+00,-5.0000000000000003e-02,1.8174670415833333e-16
4.9999999999999973e+00,1.3883209653504256e-16,-2.0000000000000018e+00
1.4999999999999987e+00,1.4868349752142146e-16,-2.0000000000000018e+00
-1.9999999999999998e+00,1.5853489850780037e-16,-2.0000000000000018e+00
-3.9999999999999987e+00,1.6416427050001691e-16,-2.0000000000000018e+00
-3.9999999999999982e+00,1.0952048100674748e-16,-5.0000000000000056e-01
-3.9999999999999973e+00,-1.7981694477547839e-17,3.0000000000000027e+00
-4.9999999999999933e-01,-2.7833095463926754e-17,3.0000000000000027e+00
2.9999999999999996e+00,-3.7684496450305657e-17,3.0000000000000027e+00
4.9999999999999991e+00,-4.3313868442522173e-17,3.0000000000000027e+00
4.9999999999999982e+00,1.1329921050747238e-17,1.5000000000000016e+00
4.9999999999999973e+00,1.0000000000000028e-01,-2.0000000000000018e+00
1.4999999999999987e+00,1.0000000000000030e-01,-2.0000000000000018e+00
-1.9999999999999998e+00,1.0000000000000030e-01,-2.0000000000000018e+00
-3.9999999999999987e+00,1.0000000000000031e-01,-2.0000000000000018e+00
-3.9999999999999982e+00,1.0000000000000026e-01,-5.0000000000000056e-01
-3.9999999999999973e+00,1.0000000000000013e-01,3.0000000000000027e+00
-4.9999999999999928e-01,1.0000000000000012e-01,3.0000000000000027e+00
2.9999999999999996e+00,1.0000000000000010e-01,3.0000000000000027e+00
