triangle,vertex_i,vertex_j,vertex_k
1,1,2,21
2,1,21,20
3,2,3,22
4,2,22,21
5,3,4,23
6,3,23,22
7,4,5,24
8,4,24,23
9,5,6,25
10,5,25,24
11,6,7,26
12,6,26,25
13,7,8,27
14,7,27,26
15,8,9,28
16,8,28,27
17,9,10,29
18,9,29,28
19,10,11,30
20,10,30,29
21,11,12,31
22,11,31,30
23,12,13,32
24,12,32,31
25,13,14,33
26,13,33,32
27,14,15,34
28,14,34,33
29,15,16,35
30,15,35,34
31,16,17,36
32,16,36,35
33,17,18,37
34,17,37,36
35,18,19,38
36,18,38,37
37,19,1,20
38,19,20,38
39,20,21,40
40,20,40,39
41,21,22,41
42,21,41,40
43,22,23,42
44,22,42,41
45,23,24,43
46,23,43,42
47,24,25,44
48,24,44,43
49,25,26,45
50,25,45,44
51,26,27,46
52,26,46,45
53,27,28,47
54,27,47,46
55,28,29,48
56,28,48,47
57,29,30,49
58,29,49,48
59,30,31,50
60,30,50,49
61,31,32,51
62,31,51,50
63,32,33,52
64,32,52,51
65,33,34,53
66,33,53,52
67,34,35,54
68,34,54,53
69,35,36,55
70,35,55,54
71,36,37,56
72,36,56,55
73,37,38,57
74,37,57,56
75,38,20,39
76,38,39,57
77,39,40,59
78,39,59,58
79,40,41,60
80,40,60,59
81,41,42,61
82,41,61,60
83,42,43,62
84,42,62,61
85,43,44,63
86,43,63,62
87,44,45,64
88,44,64,63
89,45,46,65
90,45,65,64
91,46,47,66
92,46,66,65
93,47,48,67
94,47,67,66
95,48,49,68
96,48,68,67
97,49,50,69
98,49,69,68
99,50,51,70
100,50,70,69
101,51,52,71
102,51,71,70
103,52,53,72
104,52,72,71
105,53,54,73
106,53,73,72
107,54,55,74
108,54,74,73
109,55,56,75
110,55,75,74
111,56,57,76
112,56,76,75
113,57,39,58
114,57,58,76
115,58,59,78
116,58,78,77
117,59,60,79
118,59,79,78
119,60,61,80
120,60,80,79
121,61,62,81
122,61,81,80
123,62,63,82
124,62,82,81
125,63,64,83
126,63,83,82
127,64,65,84
128,64,84,83
129,65,66,85
130,65,85,84
131,66,67,86
132,66,86,85
133,67,68,87
134,67,87,86
135,68,69,88
136,68,88,87
137,69,70,89
138,69,89,88
139,70,71,90
140,70,90,89
141,71,72,91
142,71,91,90
143,72,73,92
144,72,92,91
145,73,74,93
146,73,93,92
147,74,75,94
148,74,94,93
149,75,76,95
150,75,95,94
151,76,58,77
152,76,77,95
153,2,1,19
154,3,2,19
155,4,3,19
156,5,4,19
157,6,5,19
158,7,6,19
159,8,7,19
160,9,8,19
161,10,9,19
162,11,10,19
163,12,11,19
164,13,12,19
165,15,14,13
166,16,15,13
167,17,16,13
168,18,17,13
169,18,13,19
170,95,77,78
171,95,78,79
172,95,79,80
173,95,80,81
174,95,81,82
175,95,82,83
176,95,83,84
177,95,84,85
178,95,85,86
179,95,86,87
180,95,87,88
181,95,88,89
182,89,90,91
183,89,91,92
184,89,92,93
185,89,93,94
186,95,89,94
