vertex,x,y,z,basis,conductor
1,4.9999999999999964e+00,-2.0500000000000025e+00,-2.0000000000000018e+00,1,0
2,1.4999999999999980e+00,-2.0500000000000025e+00,-2.0000000000000018e+00,2,0
3,-2.0000000000000000e+00,-2.0500000000000025e+00,-2.0000000000000018e+00,3,0
4,-3.9999999999999991e+00,-2.0500000000000025e+00,-2.0000000000000018e+00,4,0
5,-3.9999999999999987e+00,-2.0500000000000025e+00,-5.0000000000000044e-01,5,0
6,-3.9999999999999987e+00,-2.0500000000000025e+00,-4.7058789443919132e-17,6,0
7,-3.9999999999999987e+00,-2.0500000000000025e+00,1.8181818180000076e-01,7,0
8,-3.9999999999999987e+00,-2.0500000000000025e+00,5.0000000000000044e-01,8,0
9,-3.9999999999999987e+00,-2.0500000000000025e+00,8.1818181820000002e-01,9,0
10,-3.9999999999999982e+00,-2.0500000000000025e+00,1.0000000000000007e+00,10,0
11,-3.9999999999999978e+00,-2.0500000000000025e+00,3.0000000000000027e+00,11,0
12,-4.9999999999999989e-01,-2.0500000000000025e+00,3.0000000000000027e+00,12,0
13,2.9999999999999991e+00,-2.0500000000000025e+00,3.0000000000000027e+00,13,0
14,4.9999999999999982e+00,-2.0500000000000025e+00,3.0000000000000027e+00,14,0
15,4.9999999999999973e+00,-2.0500000000000025e+00,1.5000000000000016e+00,15,0
16,4.9999999999999973e+00,-2.0500000000000025e+00,1.0000000000000011e+00,16,0
17,4.9999999999999973e+00,-2.0500000000000025e+00,8.1818181820000035e-01,17,0
18,4.9999999999999973e+00,-2.0500000000000025e+00,1.8181818180000106e-01,18,0
19,4.9999999999999973e+00,-2.0500000000000025e+00,2.3927971137390941e-16,19,0
20,4.9999999999999973e+00,-4.9999999999999926e-02,-2.0000000000000018e+00,20,0
21,1.4999999999999987e+00,-4.9999999999999920e-02,-2.0000000000000018e+00,21,0
22,-1.9999999999999998e+00,-4.9999999999999906e-02,-2.0000000000000018e+00,22,0
23,-3.9999999999999987e+00,-4.9999999999999899e-02,-2.0000000000000018e+00,23,0
24,-3.9999999999999982e+00,-4.9999999999999954e-02,-5.0000000000000056e-01,24,0
25,-3.9999999999999982e+00,-4.9999999999999975e-02,-1.0459179665949524e-16,25,0
26,-3.9999999999999982e+00,-4.9999999999999982e-02,1.8181818180000070e-01,26,0
27,-3.9999999999999982e+00,-4.9999999999999996e-02,5.0000000000000033e-01,27,0
28,-3.9999999999999982e+00,-5.0000000000000003e-02,8.1818181819999991e-01,28,0
29,-3.9999999999999978e+00,-5.0000000000000010e-02,1.0000000000000007e+00,29,0
30,-3.9999999999999973e+00,-5.0000000000000086e-02,3.0000000000000027e+00,30,0
31,-4.9999999999999933e-01,-5.0000000000000093e-02,3.0000000000000027e+00,31,0
32,2.9999999999999996e+00,-5.0000000000000107e-02,3.0000000000000027e+00,32,0
33,4.9999999999999991e+00,-5.0000000000000107e-02,3.0000000000000027e+00,33,0
34,4.9999999999999982e+00,-5.0000000000000058e-02,1.5000000000000016e+00,34,0
35,4.9999999999999982e+00,-5.0000000000000037e-02,1.0000000000000011e+00,35,0
36,4.9999999999999982e+00,-5.0000000000000031e-02,8.1818181820000024e-01,36,0
37,4.9999999999999982e+00,-5.0000000000000010e-02,1.8181818180000101e-01,37,0
38,4.9999999999999982e+00,-5.0000000000000003e-02,1.8174670415833333e-16,38,0
39,4.9999999999999973e+00,1.3883209653504256e-16,-2.0000000000000018e+00,39,0
40,1.4999999999999987e+00,1.4868349752142146e-16,-2.0000000000000018e+00,40,0
41,-1.9999999999999998e+00,1.5853489850780037e-16,-2.0000000000000018e+00,41,0
42,-3.9999999999999987e+00,1.6416427050001691e-16,-2.0000000000000018e+00,42,0
43,-3.9999999999999982e+00,1.0952048100674748e-16,-5.0000000000000056e-01,43,0
44,-3.9999999999999982e+00,9.1305884508991008e-17,-1.0603012183988464e-16,0,2
45,-3.9999999999999982e+00,8.4682394874105518e-17,1.8181818180000070e-01,0,2
46,-3.9999999999999982e+00,7.3091288011234533e-17,5.0000000000000033e-01,0,2
47,-3.9999999999999982e+00,6.1500181148363536e-17,8.1818181819999991e-01,0,2
48,-3.9999999999999978e+00,5.4876691513478059e-17,1.0000000000000007e+00,0,2
49,-3.9999999999999973e+00,-1.7981694477547839e-17,3.0000000000000027e+00,44,0
50,-4.9999999999999933e-01,-2.7833095463926754e-17,3.0000000000000027e+00,45,0
51,2.9999999999999996e+00,-3.7684496450305657e-17,3.0000000000000027e+00,46,0
52,4.9999999999999991e+00,-4.3313868442522173e-17,3.0000000000000027e+00,47,0
53,4.9999999999999982e+00,1.1329921050747238e-17,1.5000000000000016e+00,48,0
54,4.9999999999999982e+00,2.9544517548503712e-17,1.0000000000000011e+00,0,1
55,4.9999999999999982e+00,3.6168007183389196e-17,8.1818181820000024e-01,0,1
56,4.9999999999999982e+00,5.9350220909131184e-17,1.8181818180000101e-01,0,1
57,4.9999999999999982e+00,6.5973710544016661e-17,1.8030837897794393e-16,0,1
58,4.9999999999999973e+00,1.0000000000000028e-01,-2.0000000000000018e+00,49,0
59,1.4999999999999987e+00,1.0000000000000030e-01,-2.0000000000000018e+00,50,0
60,-1.9999999999999998e+00,1.0000000000000030e-01,-2.0000000000000018e+00,51,0
61,-3.9999999999999987e+00,1.0000000000000031e-01,-2.0000000000000018e+00,52,0
62,-3.9999999999999982e+00,1.0000000000000026e-01,-5.0000000000000056e-01,53,0
63,-3.9999999999999982e+00,1.0000000000000023e-01,-1.0890677220066344e-16,0,2
64,-3.9999999999999982e+00,1.0000000000000023e-01,1.8181818180000070e-01,0,2
65,-3.9999999999999982e+00,1.0000000000000021e-01,5.0000000000000033e-01,0,2
66,-3.9999999999999982e+00,1.0000000000000020e-01,8.1818181819999991e-01,0,2
67,-3.9999999999999978e+00,1.0000000000000020e-01,1.0000000000000007e+00,0,2
68,-3.9999999999999973e+00,1.0000000000000013e-01,3.0000000000000027e+00,54,0
69,-4.9999999999999928e-01,1.0000000000000012e-01,3.0000000000000027e+00,55,0
70,2.9999999999999996e+00,1.0000000000000010e-01,3.0000000000000027e+00,56,0
71,4.9999999999999991e+00,1.0000000000000010e-01,3.0000000000000027e+00,57,0
72,4.9999999999999982e+00,1.0000000000000016e-01,1.5000000000000016e+00,58,0
73,4.9999999999999982e+00,1.0000000000000017e-01,1.0000000000000011e+00,0,1
74,4.9999999999999982e+00,1.0000000000000017e-01,8.1818181820000024e-01,0,1
75,4.9999999999999982e+00,1.0000000000000020e-01,1.8181818180000101e-01,0,1
76,4.9999999999999982e+00,1.0000000000000021e-01,1.7743172861716513e-16,0,1
77,4.9999999999999982e+00,2.1000000000000028e+00,-2.0000000000000018e+00,59,0
78,1.4999999999999993e+00,2.1000000000000028e+00,-2.0000000000000018e+00,60,0
79,-1.9999999999999991e+00,2.1000000000000028e+00,-2.0000000000000018e+00,61,0
80,-3.9999999999999982e+00,2.1000000000000028e+00,-2.0000000000000018e+00,62,0
81,-3.9999999999999978e+00,2.1000000000000028e+00,-5.0000000000000067e-01,63,0
82,-3.9999999999999978e+00,2.1000000000000028e+00,-1.6643977941623957e-16,64,0
83,-3.9999999999999978e+00,2.1000000000000028e+00,1.8181818180000064e-01,65,0
84,-3.9999999999999978e+00,2.1000000000000028e+00,5.0000000000000022e-01,66,0
85,-3.9999999999999978e+00,2.1000000000000028e+00,8.1818181819999980e-01,67,0
86,-3.9999999999999973e+00,2.1000000000000028e+00,1.0000000000000007e+00,68,0
87,-3.9999999999999969e+00,2.1000000000000028e+00,3.0000000000000027e+00,69,0
88,-4.9999999999999872e-01,2.1000000000000028e+00,3.0000000000000027e+00,70,0
89,3.0000000000000000e+00,2.1000000000000028e+00,3.0000000000000027e+00,71,0
90,5.0000000000000000e+00,2.1000000000000028e+00,3.0000000000000027e+00,72,0
91,4.9999999999999991e+00,2.1000000000000028e+00,1.5000000000000016e+00,73,0
92,4.9999999999999991e+00,2.1000000000000028e+00,1.0000000000000011e+00,74,0
93,4.9999999999999991e+00,2.1000000000000028e+00,8.1818181820000013e-01,75,0
94,4.9999999999999991e+00,2.1000000000000028e+00,1.8181818180000095e-01,76,0
95,4.9999999999999991e+00,2.1000000000000028e+00,1.1989872140158901e-16,77,0
