Facet,Conductor,Plane,X,Y
1,1,0,-8,2.2911761496
1,1,0,-7.6261502277000002,4.2093559593999998
1,1,0,-8,4.2682029223000004
2,1,0,-8,2.2911761496
2,1,0,-7.6261502277000002,4.2093559593999998
2,1,0,-2.5,0
2,1,0,-8,-2.9096120320000001
3,1,0,-7.6261502277000002,4.2093559593999998
3,1,0,-8,4.2682029223000004
3,1,0,-8,7.2694614705000005
4,1,0,-7.6261502277000002,4.2093559593999998
4,1,0,-1.0894500325000001,4.8870508513000006
4,1,0,-1.9482440852,8
4,1,0,-4.2704939871000001,8
5,1,0,-7.6261502277000002,4.2093559593999998
5,1,0,-1.0894500325000001,4.8870508513000006
5,1,0,-2.5,0
6,1,0,-7.6261502277000002,4.2093559593999998
6,1,0,-8,7.2694614705000005
6,1,0,-8,8
6,1,0,-4.2704939871000001,8
7,1,0,-1.0894500325000001,4.8870508513000006
7,1,0,1.0959375194000001,8
7,1,0,2.5,8
7,1,0,2.5,0
8,1,0,-1.0894500325000001,4.8870508513000006
8,1,0,1.0959375194000001,8
8,1,0,-0.42615328290000004,8
9,1,0,-1.0894500325000001,4.8870508513000006
9,1,0,-0.42615328290000004,8
9,1,0,-1.9482440852,8
10,1,0,-1.0894500325000001,4.8870508513000006
10,1,0,2.5,0
10,1,0,0,0
11,1,0,-1.0894500325000001,4.8870508513000006
11,1,0,0,0
11,1,0,-2.5,0
12,1,0,-2.5,0
12,1,0,-8,-2.9096120320000001
12,1,0,-8,-3.9323477715999999
12,1,0,-7.8200435978000007,-4
12,1,0,-2.5,-4
13,1,0,-8,-3.9323477715999999
13,1,0,-7.8200435978000007,-4
13,1,0,-8,-4
