Facet,Conductor,Plane,X,Y
1,1,0,-8,0.70271450850000006
1,1,0,-5.9476351324000003,4.5514356511000003
1,1,0,-8,4.5545932329000003
2,1,0,-8,0.70271450850000006
2,1,0,-5.9476351324000003,4.5514356511000003
2,1,0,-3.7900129539000003,0
2,1,0,-8,0
3,1,0,1,1.9716983118
3,1,0,-1.8374093794000002,2.8070130080000002
3,1,0,2,3.9433966237
4,1,0,1,1.9716983118
4,1,0,-1.8374093794000002,2.8070130080000002
4,1,0,0,0
5,1,0,1,1.9716983118
5,1,0,2,3.9433966237
5,1,0,2,0
6,1,0,1,1.9716983118
6,1,0,1,0
6,1,0,2,0
7,1,0,1,1.9716983118
7,1,0,1,0
7,1,0,0,0
8,1,0,-1.8374093794000002,2.8070130080000002
8,1,0,2,3.9433966237
8,1,0,-1.3342046159000001,6.1399604752000005
9,1,0,-1.8374093794000002,2.8070130080000002
9,1,0,-5.9476351324000003,4.5514356511000003
9,1,0,-1.3342046159000001,6.1399604752000005
10,1,0,-1.8374093794000002,2.8070130080000002
10,1,0,-5.9476351324000003,4.5514356511000003
10,1,0,-3.7900129539000003,0
11,1,0,-1.8374093794000002,2.8070130080000002
11,1,0,0,0
11,1,0,-3.7900129539000003,0
12,1,0,2,3.9433966237
12,1,0,-1.3342046159000001,6.1399604752000005
12,1,0,1.12668747,8
12,1,0,2,8
13,1,0,-5.9476351324000003,4.5514356511000003
13,1,0,-8,4.5545932329000003
13,1,0,-8,7.5893793083999999
14,1,0,-5.9476351324000003,4.5514356511000003
14,1,0,-1.3342046159000001,6.1399604752000005
14,1,0,-2.0430683673000001,8
14,1,0,-4.5367641742,8
15,1,0,-5.9476351324000003,4.5514356511000003
15,1,0,-8,7.5893793083999999
15,1,0,-8,8
15,1,0,-4.5367641742,8
16,1,0,-1.3342046159000001,6.1399604752000005
16,1,0,1.12668747,8
16,1,0,-2.0430683673000001,8
17,1,0,1,0
17,1,0,2,0
17,1,0,1,-1.9694602273000001
18,1,0,1,0
18,1,0,0,0
18,1,0,1,-1.9694602273000001
19,1,0,2,0
19,1,0,1,-1.9694602273000001
19,1,0,2,-3.96875
20,1,0,0,0
20,1,0,1,-1.9694602273000001
20,1,0,0,-3.9090909091000001
21,1,0,1,-1.9694602273000001
21,1,0,0,-3.9090909091000001
21,1,0,1,-3.9389204545000003
22,1,0,1,-1.9694602273000001
22,1,0,1,-3.9389204545000003
22,1,0,2,-3.96875
23,1,0,0,-3.9090909091000001
23,1,0,1,-3.9389204545000003
23,1,0,1,-5.9083806818000006
24,1,0,0,-3.9090909091000001
24,1,0,1,-5.9083806818000006
24,1,0,0,-7.8181818182000002
25,1,0,1,-3.9389204545000003
25,1,0,2,-3.96875
25,1,0,1,-5.9083806818000006
26,1,0,2,-3.96875
26,1,0,1,-5.9083806818000006
26,1,0,2,-7.9375
27,1,0,1,-5.9083806818000006
27,1,0,0,-7.8181818182000002
27,1,0,1,-7.8778409091000006
28,1,0,1,-5.9083806818000006
28,1,0,1,-7.8778409091000006
28,1,0,2,-7.9375
29,1,0,-6,-6
29,1,0,-8,-6
29,1,0,-8,-7.8176947148
30,1,0,-6,-6
30,1,0,-8,-7.8176947148
30,1,0,-8,-8
30,1,0,-6,-8
31,1,0,0,-7.8181818182000002
31,1,0,1,-7.8778409091000006
31,1,0,1,-8
31,1,0,0.089604480200000003,-8
32,1,0,0,-7.8181818182000002
32,1,0,0.089604480200000003,-8
32,1,0,0,-8
33,1,0,1,-7.8778409091000006
33,1,0,2,-7.9375
33,1,0,1.9672740796000001,-8
33,1,0,1,-8
34,1,0,2,-7.9375
34,1,0,1.9672740796000001,-8
34,1,0,2,-8
